Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0.00,0,0
0.166,0,0,0,0.00,650.50,0
0.300,0,0,0,0.00,650.50,0.00
0.495,0.02,0,0,0.00,650.50,0.00
0.645,0.02,0.00,0,0.00,650.50,0.00
0.810,0.02,0.00,0.02,0.00,650.50,0.00
0.960,0.02,0.00,0.02,0.00,650.50,0.00
1.094,0.02,0.00,0.02,0.00,654.00,0.00
1.245,0.02,0.00,0.02,0.00,654.00,0.00
1.379,0.02,0.00,0.02,0.00,654.00,0.00
1.515,0.02,0.00,0.02,0.00,654.00,0.00
1.650,0.02,0.00,0.01,0.00,654.00,0.00
1.785,0.02,0.00,0.01,0.00,654.00,0.00
1.920,0.02,0.00,0.01,0.00,654.50,0.00
2.085,0.02,0.00,0.01,0.00,654.50,0.00
2.219,0.02,0.00,0.01,0.00,654.50,0.00
2.370,0.02,0.00,0.01,0.00,654.50,0.00
2.520,0.02,0.00,0.00,0.00,654.50,0.00
2.655,0.02,0.00,0.00,0.00,654.50,0.00
2.790,0.02,0.00,0.00,0.00,653.50,0.00
2.925,0.02,0.00,0.00,0.00,653.50,0.00
3.060,0.02,0.00,0.00,0.00,653.50,0.00
3.210,0.02,0.00,0.00,0.00,653.50,0.00
3.360,0.02,0.00,0.05,0.00,653.50,0.00
3.495,0.02,0.00,0.05,0.00,653.50,0.00
3.645,0.02,0.00,0.05,0.00,653.50,0.00
3.780,0.02,0.00,0.05,0.00,653.50,0.00
3.915,0.02,0.00,0.05,0.00,653.50,0.00
4.049,0.02,0.00,0.05,0.00,653.50,0.00
4.185,0.02,0.00,0.06,0.00,653.50,0.00
4.320,0.02,0.00,0.06,0.00,653.50,0.00
4.485,0.02,0.00,0.06,0.00,654.50,0.00
4.650,0.02,0.00,0.06,0.00,654.50,0.00
4.800,0.02,0.00,0.06,0.00,654.50,0.00
4.934,0.02,0.00,0.06,0.00,654.50,0.00
5.085,0.02,0.00,0.01,0.00,654.50,0.00
5.220,0.02,0.00,0.01,0.00,654.50,0.00
5.354,0.02,0.00,0.01,0.00,652.50,0.00
5.490,0.02,0.00,0.01,0.00,652.50,0.00
5.624,0.02,0.00,0.01,0.00,652.50,0.00
5.760,0.02,0.00,0.01,0.00,652.50,0.00
5.924,0.02,0.00,0.02,0.00,652.50,0.00
6.060,0.02,0.00,0.02,0.00,652.50,0.00
6.210,0.02,0.00,0.02,0.00,652.50,0.00
6.360,0.02,0.00,0.02,0.00,652.50,0.00
6.494,0.02,0.00,0.02,0.00,652.50,0.00
6.630,0.02,0.00,0.02,0.00,652.50,0.00
6.765,0.02,0.00,0.01,0.00,652.50,0.00
6.900,0.02,0.00,0.01,0.00,652.50,0.00
7.050,0.02,0.00,0.01,0.00,649.50,0.00
7.199,0.02,0.00,0.01,0.00,649.50,0.00
7.334,0.02,0.00,0.01,0.00,649.50,0.00
7.485,0.02,0.00,0.01,0.00,649.50,0.00
7.619,0.02,0.00,0.03,0.00,649.50,0.00
7.756,0.02,0.00,0.03,0.00,649.50,0.00
7.890,0.02,0.00,0.03,0.00,652.50,0.00
8.026,0.02,0.00,0.03,0.00,652.50,0.00
8.159,0.02,0.00,0.03,0.00,652.50,0.00
8.325,0.02,0.00,0.03,0.00,652.50,0.00
8.490,0.02,0.00,0.01,0.00,652.50,0.00
8.640,0.02,0.00,0.01,0.00,652.50,0.00
8.775,0.02,0.00,0.01,0.00,654.50,0.00
8.940,0.02,0.00,0.01,0.00,654.50,0.00
9.090,0.02,0.00,0.01,0.00,654.50,0.00
9.240,0.02,0.00,0.01,0.00,654.50,0.00
9.375,0.02,0.00,0.05,0.00,654.50,0.00
9.510,0.02,0.00,0.05,0.00,654.50,0.00
