Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0.00,0,0
0.165,0,0,0,0.00,675.50,0
0.313,0,0,0,0.00,675.50,0.00
0.448,0.02,0,0,0.00,675.50,0.00
0.597,0.02,0.00,0,0.00,675.50,0.00
0.748,0.02,0.00,0.03,0.00,675.50,0.00
0.899,0.02,0.00,0.03,0.00,675.50,0.00
1.048,0.02,0.00,0.03,0.00,671.00,0.00
1.197,0.02,0.00,0.03,0.00,671.00,0.00
1.348,0.03,0.00,0.03,0.00,671.00,0.00
1.497,0.03,0.00,0.03,0.00,671.00,0.00
1.647,0.03,0.00,0.02,0.00,671.00,0.00
1.797,0.03,0.00,0.02,0.00,671.00,0.00
1.948,0.03,0.00,0.02,0.00,678.00,0.00
2.097,0.03,0.00,0.02,0.00,678.00,0.00
2.247,0.04,0.00,0.02,0.00,678.00,0.00
2.397,0.04,0.00,0.02,0.00,678.00,0.00
2.563,0.04,0.00,0.04,0.00,678.00,0.00
2.712,0.04,0.00,0.04,0.00,678.00,0.00
2.848,0.04,0.00,0.04,0.00,673.00,0.00
3.000,0.04,0.00,0.04,0.00,673.00,0.00
3.148,0.03,0.00,0.04,0.00,673.00,0.00
3.297,0.03,0.00,0.04,0.00,673.00,0.00
3.447,0.03,0.00,0.03,0.00,673.00,0.00
3.597,0.03,0.00,0.03,0.00,673.00,0.00
3.748,0.03,0.00,0.03,0.00,667.00,0.00
3.897,0.03,0.00,0.03,0.00,667.00,0.00
4.047,0.03,0.00,0.03,0.00,667.00,0.00
4.197,0.03,0.00,0.03,0.00,667.00,0.00
4.349,0.03,0.00,0.01,0.00,667.00,0.00
4.498,0.03,0.00,0.01,0.00,667.00,0.00
4.648,0.03,0.00,0.01,0.00,666.00,0.00
4.797,0.03,0.00,0.01,0.00,666.00,0.00
4.963,0.03,0.00,0.01,0.00,666.00,0.00
5.112,0.03,0.00,0.01,0.00,666.00,0.00
5.248,0.03,0.00,0.03,0.00,666.00,0.00
5.397,0.03,0.00,0.03,0.00,666.00,0.00
5.548,0.03,0.00,0.03,0.00,657.50,0.00
5.697,0.03,0.00,0.03,0.00,657.50,0.00
5.848,0.03,0.00,0.03,0.00,657.50,0.00
5.997,0.03,0.00,0.03,0.00,657.50,0.00
6.148,0.03,0.00,0.04,0.00,657.50,0.00
6.297,0.03,0.00,0.04,0.00,657.50,0.00
6.448,0.03,0.00,0.04,0.00,664.00,0.00
6.613,0.03,0.00,0.04,0.00,664.00,0.00
6.748,0.03,0.00,0.04,0.00,664.00,0.00
6.898,0.03,0.00,0.04,0.00,664.00,0.00
7.047,0.03,0.00,0.01,0.00,664.00,0.00
7.197,0.03,0.00,0.01,0.00,664.00,0.00
7.363,0.03,0.00,0.01,0.00,656.50,0.00
7.512,0.03,0.00,0.01,0.00,656.50,0.00
7.648,0.03,0.00,0.01,0.00,656.50,0.00
7.797,0.03,0.00,0.01,0.00,656.50,0.00
7.948,0.03,0.00,-0.00,0.00,656.50,0.00
8.098,0.03,0.00,-0.00,0.00,656.50,0.00
8.232,0.03,0.00,-0.00,0.00,656.50,0.00
8.367,0.03,0.00,-0.00,0.00,656.50,0.00
8.532,0.03,0.00,-0.00,0.00,656.50,0.00
8.667,0.03,0.00,-0.00,0.00,656.50,0.00
8.802,0.03,0.00,0.03,0.00,656.50,0.00
8.952,0.03,0.00,0.03,0.00,656.50,0.00
9.088,0.03,0.00,0.03,0.00,658.00,0.00
9.237,0.03,0.00,0.03,0.00,658.00,0.00
9.388,0.03,0.00,0.03,0.00,658.00,0.00
9.537,0.03,0.00,0.03,0.00,658.00,0.00
9.688,0.03,0.00,0.05,0.00,658.00,0.00
9.822,0.03,0.00,0.05,0.00,658.00,0.00
9.957,0.03,0.00,0.05,0.00,664.50,0.00
10.107,0.03,0.00,0.05,0.00,664.50,0.00
10.257,0.03,0.00,0.05,0.00,664.50,0.00
10.407,0.03,0.00,0.05,0.00,664.50,0.00
10.558,0.03,0.00,0.07,0.00,664.50,0.00
10.723,0.03,0.00,0.07,0.00,664.50,0.00
10.873,0.03,0.00,0.07,0.00,662.00,0.00
11.007,0.03,0.00,0.07,0.00,662.00,0.00
11.158,0.03,0.00,0.07,0.00,662.00,0.00
11.292,0.03,0.00,0.07,0.00,662.00,0.00
11.443,0.03,0.00,0.04,0.00,662.00,0.00
11.580,0.03,0.00,0.04,0.00,662.00,0.00
11.728,0.03,0.00,0.04,0.00,657.50,0.00
11.877,0.03,0.00,0.04,0.00,657.50,0.00
12.028,0.03,0.00,0.04,0.00,657.50,0.00
12.180,0.03,0.00,0.04,0.00,657.50,0.00
12.328,0.03,0.00,0.00,0.00,657.50,0.00
12.477,0.03,0.00,0.00,0.00,657.50,0.00
12.612,0.03,0.00,0.00,0.00,655.00,0.00
12.818,0.03,0.00,0.00,0.00,655.00,0.00
12.958,0.03,0.00,0.00,0.00,655.00,0.00
13.122,0.03,0.00,0.00,0.00,655.00,0.00
13.273,0.03,0.00,0.08,0.00,655.00,0.00
13.410,0.03,0.00,0.08,0.00,655.00,0.00
13.558,0.03,0.00,0.08,0.00,653.00,0.00
13.692,0.03,0.00,0.08,0.00,653.00,0.00
13.828,0.03,0.00,0.08,0.00,653.00,0.00
13.965,0.03,0.00,0.08,0.00,653.00,0.00
14.098,0.03,0.00,0.03,0.00,653.00,0.00
14.233,0.03,0.00,0.03,0.00,653.00,0.00
14.367,0.03,0.00,0.03,0.00,655.00,0.00
14.518,0.03,0.00,0.03,0.00,655.00,0.00
14.667,0.03,0.00,0.03,0.00,655.00,0.00
14.817,0.03,0.00,0.03,0.00,655.00,0.00
14.968,0.03,0.00,0.03,0.00,655.00,0.00
15.118,0.03,0.00,0.03,0.00,655.00,0.00
15.268,0.03,0.00,0.03,0.00,657.00,0.00
15.402,0.03,0.00,0.03,0.00,657.00,0.00
15.537,0.03,0.00,0.03,0.00,657.00,0.00
15.687,0.03,0.00,0.03,0.00,657.00,0.00
15.838,0.03,0.00,0.05,0.00,657.00,0.00
15.972,0.03,0.00,0.05,0.00,657.00,0.00
16.154,0.03,0.00,0.05,0.00,652.50,0.00
16.287,0.03,0.00,0.05,0.00,652.50,0.00
16.438,0.03,0.00,0.05,0.00,652.50,0.00
16.587,0.03,0.00,0.05,0.00,652.50,0.00
16.723,0.03,0.00,0.01,0.00,652.50,0.00
16.857,0.03,0.00,0.01,0.00,652.50,0.00
16.993,0.03,0.00,0.01,0.00,655.00,0.00
17.127,0.03,0.00,0.01,0.00,655.00,0.00
17.278,0.03,0.00,0.01,0.00,655.00,0.00
17.412,0.03,0.00,0.01,0.00,655.00,0.00
17.563,0.03,0.00,0.03,0.00,655.00,0.00
17.713,0.03,0.00,0.03,0.00,655.00,0.00
17.847,0.03,0.00,0.03,0.00,653.50,0.00
17.997,0.03,0.00,0.03,0.00,653.50,0.00
18.147,0.03,0.00,0.03,0.00,653.50,0.00
18.299,0.03,0.00,0.03,0.00,653.50,0.00
18.448,0.03,0.00,-0.03,0.00,653.50,0.00
18.598,0.03,0.00,-0.03,0.00,653.50,0.00
18.762,0.03,0.00,-0.03,0.00,655.50,0.00
18.898,0.03,0.00,-0.03,0.00,655.50,0.00
19.032,0.03,0.00,-0.03,0.00,655.50,0.00
19.168,0.03,0.00,-0.03,0.00,655.50,0.00
19.317,0.03,0.00,0.08,0.00,655.50,0.00
19.452,0.03,0.00,0.08,0.00,655.50,0.00
19.590,0.03,0.00,0.08,0.00,656.00,0.00
19.722,0.03,0.00,0.08,0.00,656.00,0.00
19.857,0.03,0.00,0.08,0.00,656.00,0.00
19.992,0.03,0.00,0.08,0.00,656.00,0.00
20.127,0.03,0.00,0.03,0.00,656.00,0.00
20.277,0.03,0.00,0.03,0.00,656.00,0.00
20.412,0.03,0.00,0.03,0.00,657.00,0.00
20.547,0.03,0.00,0.03,0.00,657.00,0.00
20.698,0.03,0.00,0.03,0.00,657.00,0.00
20.848,0.03,0.00,0.03,0.00,657.00,0.00
20.998,0.03,0.00,0.02,0.00,657.00,0.00
21.148,0.03,0.00,0.02,0.00,657.00,0.00
21.283,0.03,0.00,0.02,0.00,657.50,0.00
21.433,0.03,0.00,0.02,0.00,657.50,0.00
21.568,0.03,0.00,0.02,0.00,657.50,0.00
21.718,0.03,0.00,0.02,0.00,657.50,0.00
