Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0.00,0,0
0.150,0,0,0,0.00,670.00,0
0.300,0,0,0,0.00,670.00,0.00
0.466,0.02,0,0,0.00,670.00,0.00
0.600,0.02,0.00,0,0.00,670.00,0.00
0.750,0.02,0.00,0.00,0.00,670.00,0.00
0.915,0.02,0.00,0.00,0.00,670.00,0.00
1.095,0.02,0.00,0.00,0.00,667.50,0.00
1.245,0.02,0.00,0.00,0.00,667.50,0.00
1.395,0.02,0.00,0.00,0.00,667.50,0.00
1.546,0.02,0.00,0.00,0.00,667.50,0.00
1.711,0.02,0.00,-0.04,0.00,667.50,0.00
1.876,0.02,0.00,-0.04,0.00,667.50,0.00
2.024,0.02,0.00,-0.04,0.00,662.50,0.00
2.160,0.02,0.00,-0.04,0.00,662.50,0.00
2.310,0.02,0.00,-0.04,0.00,662.50,0.00
2.445,0.02,0.00,-0.04,0.00,662.50,0.00
2.580,0.02,0.00,-0.06,0.00,662.50,0.00
2.732,0.02,0.00,-0.06,0.00,662.50,0.00
2.880,0.02,0.00,-0.06,0.00,663.00,0.00
3.030,0.02,0.00,-0.06,0.00,663.00,0.00
3.165,0.02,0.00,-0.06,0.00,663.00,0.00
3.315,0.02,0.00,-0.06,0.00,663.00,0.00
3.465,0.02,0.00,-0.05,0.00,663.00,0.00
3.630,0.02,0.00,-0.05,0.00,663.00,0.00
3.765,0.02,0.00,-0.05,0.00,652.00,0.00
3.915,0.02,0.00,-0.05,0.00,652.00,0.00
4.080,0.02,0.00,-0.05,0.00,652.00,0.00
4.231,0.02,0.00,-0.05,0.00,652.00,0.00
4.380,0.02,0.00,-0.05,0.00,652.00,0.00
4.547,0.02,0.00,-0.05,0.00,652.00,0.00
4.680,0.02,0.00,-0.05,0.00,655.00,0.00
4.830,0.02,0.00,-0.05,0.00,655.00,0.00
4.965,0.02,0.00,-0.05,0.00,655.00,0.00
5.115,0.02,0.00,-0.05,0.00,655.00,0.00
5.250,0.02,0.00,-0.06,0.00,655.00,0.00
5.415,0.02,0.00,-0.06,0.00,655.00,0.00
5.550,0.02,0.00,-0.06,0.00,656.50,0.00
5.716,0.02,0.00,-0.06,0.00,656.50,0.00
5.865,0.02,0.00,-0.06,0.00,656.50,0.00
6.001,0.02,0.00,-0.06,0.00,656.50,0.00
6.150,0.02,0.00,-0.08,0.00,656.50,0.00
6.285,0.02,0.00,-0.08,0.00,656.50,0.00
6.421,0.02,0.00,-0.08,0.00,655.50,0.00
6.570,0.02,0.00,-0.08,0.00,655.50,0.00
6.721,0.02,0.00,-0.08,0.00,655.50,0.00
6.870,0.02,0.00,-0.08,0.00,655.50,0.00
7.005,0.02,0.00,-0.03,0.00,655.50,0.00
7.155,0.02,0.00,-0.03,0.00,655.50,0.00
7.305,0.02,0.00,-0.03,0.00,657.00,0.00
7.470,0.02,0.00,-0.03,0.00,657.00,0.00
7.605,0.02,0.00,-0.03,0.00,657.00,0.00
7.755,0.02,0.00,-0.03,0.00,657.00,0.00
7.920,0.02,0.00,-0.03,0.00,657.00,0.00
8.070,0.02,0.00,-0.03,0.00,657.00,0.00
8.221,0.02,0.00,-0.03,0.00,659.50,0.00
8.370,0.02,0.00,-0.03,0.00,659.50,0.00
8.521,0.02,0.00,-0.03,0.00,659.50,0.00
8.686,0.02,0.00,-0.03,0.00,659.50,0.00
8.820,0.02,0.00,-0.03,0.00,659.50,0.00
8.955,0.02,0.00,-0.03,0.00,659.50,0.00
9.090,0.02,0.00,-0.03,0.00,660.50,0.00
9.256,0.02,0.00,-0.03,0.00,660.50,0.00
9.390,0.02,0.00,-0.03,0.00,660.50,0.00
9.557,0.02,0.00,-0.03,0.00,660.50,0.00
9.723,0.02,0.00,-0.05,0.00,660.50,0.00
9.870,0.02,0.00,-0.05,0.00,660.50,0.00
10.035,0.02,0.00,-0.05,0.00,658.50,0.00
10.186,0.02,0.00,-0.05,0.00,658.50,0.00
10.320,0.02,0.00,-0.05,0.00,658.50,0.00
10.470,0.02,0.00,-0.05,0.00,658.50,0.00
10.605,0.02,0.00,-0.08,0.00,658.50,0.00
10.743,0.02,0.00,-0.08,0.00,658.50,0.00
10.890,0.02,0.00,-0.08,0.00,660.50,0.00
11.040,0.02,0.00,-0.08,0.00,660.50,0.00
11.190,0.02,0.00,-0.08,0.00,660.50,0.00
11.340,0.02,0.00,-0.08,0.00,660.50,0.00
11.490,0.02,0.00,-0.03,0.00,660.50,0.00
11.625,0.02,0.00,-0.03,0.00,660.50,0.00
11.760,0.02,0.00,-0.03,0.00,659.50,0.00
11.910,0.02,0.00,-0.03,0.00,659.50,0.00
12.060,0.02,0.00,-0.03,0.00,659.50,0.00
12.210,0.02,0.00,-0.03,0.00,659.50,0.00
12.361,0.02,0.00,-0.08,0.00,659.50,0.00
12.510,0.02,0.00,-0.08,0.00,659.50,0.00
12.661,0.02,0.00,-0.08,0.00,655.00,0.00
12.795,0.02,0.00,-0.08,0.00,655.00,0.00
12.930,0.02,0.00,-0.08,0.00,655.00,0.00
13.095,0.02,0.00,-0.08,0.00,655.00,0.00
13.229,0.02,0.00,-0.05,0.00,655.00,0.00
13.395,0.02,0.00,-0.05,0.00,655.00,0.00
13.546,0.02,0.00,-0.05,0.00,670.50,0.00
13.681,0.02,0.00,-0.05,0.00,670.50,0.00
13.831,0.02,0.00,-0.05,0.00,670.50,0.00
13.966,0.02,0.00,-0.05,0.00,670.50,0.00
14.100,0.02,0.00,-0.00,0.00,670.50,0.00
14.252,0.02,0.00,-0.00,0.00,670.50,0.00
14.401,0.02,0.00,-0.00,0.00,662.00,0.00
14.551,0.02,0.00,-0.00,0.00,662.00,0.00
14.701,0.02,0.00,-0.00,0.00,662.00,0.00
14.836,0.02,0.00,-0.00,0.00,662.00,0.00
14.986,0.02,0.00,-0.03,0.00,662.00,0.00
15.151,0.02,0.00,-0.03,0.00,662.00,0.00
15.286,0.02,0.00,-0.03,0.00,661.00,0.00
15.436,0.02,0.00,-0.03,0.00,661.00,0.00
15.586,0.02,0.00,-0.03,0.00,661.00,0.00
15.722,0.02,0.00,-0.03,0.00,661.00,0.00
15.856,0.02,0.00,-0.05,0.00,661.00,0.00
15.991,0.02,0.00,-0.05,0.00,661.00,0.00
16.141,0.02,0.00,-0.05,0.00,664.00,0.00
16.307,0.02,0.00,-0.05,0.00,664.00,0.00
16.441,0.02,0.00,-0.05,0.00,664.00,0.00
16.590,0.02,0.00,-0.05,0.00,664.00,0.00
16.756,0.02,0.00,-0.03,0.00,664.00,0.00
16.906,0.02,0.00,-0.03,0.00,664.00,0.00
17.071,0.02,0.00,-0.03,0.00,658.50,0.00
17.236,0.02,0.00,-0.03,0.00,658.50,0.00
17.385,0.02,0.00,-0.03,0.00,658.50,0.00
17.520,0.02,0.00,-0.03,0.00,658.50,0.00
17.671,0.02,0.00,-0.05,0.00,658.50,0.00
17.805,0.02,0.00,-0.05,0.00,658.50,0.00
17.941,0.02,0.00,-0.05,0.00,659.00,0.00
18.091,0.02,0.00,-0.05,0.00,659.00,0.00
18.241,0.02,0.00,-0.05,0.00,659.00,0.00
18.391,0.02,0.00,-0.05,0.00,659.00,0.00
18.526,0.02,0.00,-0.08,0.00,659.00,0.00
18.676,0.02,0.00,-0.08,0.00,659.00,0.00
18.826,0.02,0.00,-0.08,0.00,622.50,0.00
18.991,0.02,0.00,-0.08,0.00,622.50,0.00
19.126,0.02,0.00,-0.08,0.00,622.50,0.00
19.276,0.02,0.00,-0.08,0.00,622.50,0.00
19.426,0.02,0.00,-0.05,0.00,622.50,0.00
19.561,0.02,0.00,-0.05,0.00,622.50,0.00
19.695,0.02,0.00,-0.05,0.00,635.50,0.00
19.831,0.02,0.00,-0.05,0.00,635.50,0.00
19.983,0.03,0.00,-0.05,0.00,635.50,0.00
20.147,0.03,0.00,-0.05,0.00,635.50,0.00
20.281,0.03,0.00,-0.02,0.00,635.50,0.00
20.431,0.03,0.00,-0.02,0.00,635.50,0.00
20.597,0.03,0.00,-0.02,0.00,644.50,0.00
20.747,0.03,0.00,-0.02,0.00,644.50,0.00
20.911,0.03,0.00,-0.02,0.00,644.50,0.00
21.076,0.03,0.00,-0.02,0.00,644.50,0.00
21.226,0.03,0.00,-0.02,0.00,644.50,0.00
21.360,0.03,0.00,-0.02,0.00,644.50,0.00
21.511,0.03,0.00,-0.02,0.00,650.00,0.00
21.661,0.03,0.00,-0.02,0.00,650.00,0.00
21.795,0.03,0.00,-0.02,0.00,650.00,0.00
21.930,0.03,0.00,-0.02,0.00,650.00,0.00
22.080,0.03,0.00,-0.09,0.00,650.00,0.00
