Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
22.169,0.02,0.00,0.01,0.00
22.304,0.02,0.00,0.01,0.00
22.454,0.02,0.00,0.01,0.00
22.589,0.02,0.00,-0.03,0.00
22.739,0.02,0.00,-0.03,0.00
22.874,0.02,0.00,-0.03,0.00
23.009,0.02,0.00,-0.03,0.00
23.144,0.02,0.00,-0.01,0.00
23.279,0.02,0.00,-0.01,0.00
23.449,0.02,0.00,-0.01,0.00
23.579,0.02,0.00,-0.01,0.00
23.715,0.02,0.00,-0.09,0.00
23.864,0.02,0.00,-0.09,0.00
24.017,0.02,0.00,-0.09,0.00
24.150,0.02,0.00,-0.09,0.00
24.284,0.02,0.00,0.01,0.00
24.436,0.02,0.00,0.01,0.00
24.569,0.02,0.00,0.01,0.00
24.704,0.02,0.00,0.01,0.00
24.853,0.02,0.00,-0.07,0.00
24.989,0.02,0.00,-0.07,0.00
25.139,0.02,0.00,-0.07,0.00
25.274,0.02,0.00,-0.07,0.00
25.409,0.02,0.00,-0.04,0.00
25.544,0.02,0.00,-0.04,0.00
25.679,0.02,0.00,-0.04,0.00
25.814,0.02,0.00,-0.04,0.00
25.950,0.02,0.00,-0.04,0.00
26.099,0.02,0.00,-0.04,0.00
26.236,0.02,0.00,-0.04,0.00
26.370,0.02,0.00,-0.04,0.00
26.505,0.02,0.00,-0.03,0.00
26.655,0.02,0.00,-0.03,0.00
26.790,0.02,0.00,-0.03,0.00
26.940,0.02,0.00,-0.03,0.00
27.075,0.02,0.00,-0.03,0.00
27.225,0.02,0.00,-0.03,0.00
27.375,0.02,0.00,-0.03,0.00
27.510,0.02,0.00,-0.03,0.00
27.645,0.02,0.00,-0.05,0.00
27.780,0.02,0.00,-0.05,0.00
27.931,0.02,0.00,-0.05,0.00
28.066,0.02,0.00,-0.05,0.00
28.214,0.02,0.00,-0.05,0.00
28.349,0.02,0.00,-0.05,0.00
28.499,0.02,0.00,-0.05,0.00
28.635,0.02,0.00,-0.05,0.00
28.770,0.02,0.00,-0.03,0.00
28.905,0.02,0.00,-0.03,0.00
29.042,0.02,0.00,-0.03,0.00
29.175,0.02,0.00,-0.03,0.00
29.340,0.02,0.00,-0.03,0.00
29.476,0.02,0.00,-0.03,0.00
29.625,0.02,0.00,-0.03,0.00
29.775,0.02,0.00,-0.03,0.00
29.910,0.02,0.00,-0.00,0.00
30.045,0.02,0.00,-0.00,0.00
30.180,0.02,0.00,-0.00,0.00
30.315,0.02,0.00,-0.00,0.00
30.466,0.02,0.00,-0.06,0.00
30.616,0.02,0.00,-0.06,0.00
30.750,0.02,0.00,-0.06,0.00
30.900,0.02,0.00,-0.06,0.00
31.036,0.02,0.00,-0.00,0.00
31.170,0.02,0.00,-0.00,0.00
31.305,0.02,0.00,-0.00,0.00
31.440,0.02,0.00,-0.00,0.00
31.575,0.02,0.00,-0.07,0.00
31.710,0.02,0.00,-0.07,0.00
31.859,0.02,0.00,-0.07,0.00
31.995,0.02,0.00,-0.07,0.00
32.130,0.02,0.00,0.01,0.00
32.266,0.02,0.00,0.01,0.00
32.415,0.02,0.00,0.01,0.00
32.565,0.02,0.00,0.01,0.00
32.700,0.02,0.00,0.02,0.00
32.835,0.02,0.00,0.02,0.00
32.984,0.02,0.00,0.02,0.00
33.135,0.02,0.00,0.02,0.00
33.270,0.02,0.00,-0.08,0.00
33.405,0.02,0.00,-0.08,0.00
33.539,0.02,0.00,-0.08,0.00
33.690,0.02,0.00,-0.08,0.00
33.825,0.02,0.00,-0.07,0.00
33.975,0.02,0.00,-0.07,0.00
34.110,0.02,0.00,-0.07,0.00
34.260,0.02,5.46,-0.07,0.00
34.395,0.02,5.46,-0.01,0.00
34.530,0.02,5.46,-0.01,0.00
34.665,0.02,5.46,-0.01,0.00
34.800,0.02,27.48,-0.01,0.00
34.935,0.02,27.48,-0.05,0.00
35.101,0.02,27.48,-0.05,0.00
35.235,0.02,27.48,-0.05,0.00
35.386,0.02,29.47,-0.05,0.00
35.535,0.02,29.47,-0.05,0.00
35.670,0.02,29.47,-0.05,0.65
35.804,0.01,29.47,-0.05,0.65
35.940,0.01,62.09,-0.05,0.65
36.075,0.01,62.09,-0.11,0.65
36.225,0.01,62.09,-0.11,5.64
36.375,0.00,62.09,-0.11,5.64
36.510,0.00,73.18,-0.11,5.64
36.660,0.00,73.18,-0.17,5.64
36.795,0.00,73.18,-0.17,5.64
36.929,0.00,73.18,-0.17,5.64
37.065,0.00,80.96,-0.17,5.64
37.199,0.00,80.96,-0.50,5.64
37.336,0.00,80.96,-0.50,6.29
37.471,0.00,80.96,-0.50,6.29
37.620,0.00,72.35,-0.50,6.29
37.755,0.00,72.35,0.60,6.29
37.890,0.00,72.35,0.60,3.47
38.025,0.00,72.35,0.60,3.47
38.175,0.00,43.71,0.60,3.47
38.310,0.00,43.71,4.08,3.47
38.460,0.00,43.71,4.08,4.77
38.595,0.00,43.71,4.08,4.77
38.745,0.00,50.83,4.08,4.77
38.895,0.00,50.83,7.78,4.77
39.030,0.00,50.83,7.78,2.17
39.165,0.00,50.83,7.78,2.17
39.300,0.00,31.95,7.78,2.17
39.450,0.00,31.95,7.66,2.17
39.585,0.00,31.95,7.66,0.22
39.735,0.00,31.95,7.66,0.22
39.870,0.00,20.86,7.66,0.22
40.020,0.00,20.86,-6.23,0.22
40.155,0.00,20.86,-6.23,-0.43
40.290,0.00,20.86,-6.23,-0.43
40.424,0.00,35.27,-6.23,-0.43
40.560,0.00,35.27,-6.53,-0.43
40.694,0.00,35.27,-6.53,0.43
40.859,0.00,35.27,-6.53,0.43
40.994,0.00,37.75,-6.53,0.43
41.145,0.00,37.75,1.14,0.43
41.294,0.00,37.75,1.14,0.87
41.430,0.00,37.75,1.14,0.87
41.564,0.00,39.90,1.14,0.87
41.700,0.00,39.90,6.97,0.87
41.835,0.00,39.90,6.97,1.08
42.015,0.00,39.90,6.97,1.08
42.165,0.00,71.19,6.97,1.08
42.299,0.00,71.19,-2.58,1.08
42.435,0.00,71.19,-2.58,3.47
42.584,0.00,71.19,-2.58,3.47
42.735,0.00,74.34,-2.58,3.47
42.870,0.00,74.34,-7.25,3.47
43.005,0.00,74.34,-7.25,2.60
43.140,0.01,74.34,-7.25,2.60
43.290,0.01,0.00,-7.25,2.60
43.425,0.01,0.00,-6.67,2.60
43.575,0.01,0.00,-6.67,-3.91
43.710,0.02,0.00,-6.67,-3.91
43.859,0.02,37.25,-6.67,-3.91
43.995,0.02,37.25,-4.35,-3.91
44.130,0.02,37.25,-4.35,0.00
44.265,0.00,37.25,-4.35,0.00
44.402,0.00,41.39,-4.35,0.00
44.537,0.00,41.39,-9.29,0.00
44.700,0.00,41.39,-9.29,1.74
44.835,0.00,41.39,-9.29,1.74
44.985,0.00,10.10,-9.29,1.74
45.135,0.00,10.10,4.88,1.74
45.270,0.00,10.10,4.88,-1.08
45.404,0.00,10.10,4.88,-1.08
45.539,0.00,17.38,4.88,-1.08
45.674,0.00,17.38,9.75,-1.08
45.824,0.00,17.38,9.75,-0.43
45.974,0.00,17.38,9.75,-0.43
46.109,0.00,22.68,9.75,-0.43
46.260,0.00,22.68,-5.04,-0.43
46.394,0.00,22.68,-5.04,-0.65
46.529,0.00,22.68,-5.04,-0.65
46.663,0.00,0.00,-5.04,-0.65
46.799,0.00,0.00,-8.49,-0.65
46.934,0.00,0.00,-8.49,-1.08
47.069,0.01,0.00,-8.49,-1.08
47.234,0.01,0.00,-8.49,-1.08
47.385,0.01,0.00,-0.59,-1.08
47.534,0.01,0.00,-0.59,-3.91
47.670,0.02,0.00,-0.59,-3.91
47.804,0.02,40.89,-0.59,-3.91
47.942,0.02,40.89,8.96,-3.91
48.075,0.02,40.89,8.96,-0.22
48.225,0.00,40.89,8.96,-0.22
48.375,0.00,69.70,8.96,-0.22
48.542,0.00,69.70,7.54,-0.22
48.675,0.00,69.70,7.54,4.12
48.825,0.00,69.70,7.54,4.12
48.975,0.00,70.53,7.54,4.12
49.110,0.00,70.53,2.51,4.12
