Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0,0,0.00
0.134,0.02,0,0,0,0,0.00
0.270,0.02,0.00,0,0,0,0.00
0.419,0.02,0.00,0.04,0,0,0.00
0.554,0.02,0.00,0.04,0.00,0,0.00
0.689,0.02,0.00,0.04,0.00,658.50,0.00
0.825,0.02,0.00,0.04,0.00,658.50,0.00
0.974,0.02,0.00,0.04,0.00,658.50,0.00
1.109,0.02,0.00,0.04,0.00,658.50,0.00
1.259,0.02,0.00,0.02,0.00,658.50,0.00
1.395,0.02,0.00,0.02,0.00,658.50,0.00
1.544,0.02,0.00,0.02,0.00,656.00,0.00
1.694,0.02,0.00,0.02,0.00,656.00,0.00
1.829,0.02,0.00,0.02,0.00,656.00,0.00
1.965,0.02,0.00,0.02,0.00,656.00,0.00
2.099,0.02,0.00,0.08,0.00,656.00,0.00
2.250,0.02,0.00,0.08,0.00,656.00,0.00
2.384,0.02,0.00,0.08,0.00,655.50,0.00
2.534,0.02,0.00,0.08,0.00,655.50,0.00
2.669,0.02,0.00,0.08,0.00,655.50,0.00
2.820,0.02,0.00,0.08,0.00,655.50,0.00
2.954,0.02,0.00,0.03,0.00,655.50,0.00
3.090,0.02,0.00,0.03,0.00,655.50,0.00
3.224,0.02,0.00,0.03,0.00,661.00,0.00
3.359,0.02,0.00,0.03,0.00,661.00,0.00
3.494,0.02,0.00,0.03,0.00,661.00,0.00
3.689,0.02,0.00,0.03,0.00,661.00,0.00
3.841,0.02,0.00,0.04,0.00,661.00,0.00
3.975,0.02,0.00,0.04,0.00,661.00,0.00
4.110,0.02,0.00,0.04,0.00,649.50,0.00
4.260,0.02,0.00,0.04,0.00,649.50,0.00
4.394,0.02,0.00,0.04,0.00,649.50,0.00
4.530,0.02,0.00,0.04,0.00,649.50,0.00
4.664,0.02,0.00,0.06,0.00,649.50,0.00
4.816,0.02,0.00,0.06,0.00,649.50,0.00
4.950,0.02,0.00,0.06,0.00,657.00,0.00
5.100,0.02,0.00,0.06,0.00,657.00,0.00
5.234,0.02,0.00,0.06,0.00,657.00,0.00
5.385,0.02,0.00,0.06,0.00,657.00,0.00
5.534,0.02,0.00,0.07,0.00,657.00,0.00
5.670,0.02,0.00,0.07,0.00,657.00,0.00
5.806,0.02,0.00,0.07,0.00,658.00,0.00
5.940,0.02,0.00,0.07,0.00,658.00,0.00
6.089,0.02,0.00,0.07,0.00,658.00,0.00
6.225,0.02,0.00,0.07,0.00,658.00,0.00
6.374,0.02,0.00,0.02,0.00,658.00,0.00
6.510,0.02,0.00,0.02,0.00,658.00,0.00
6.659,0.02,0.00,0.02,0.00,651.50,0.00
6.795,0.02,0.00,0.02,0.00,651.50,0.00
6.929,0.02,0.00,0.02,0.00,651.50,0.00
7.065,0.02,0.00,0.02,0.00,651.50,0.00
7.200,0.02,0.00,0.09,0.00,651.50,0.00
7.335,0.02,0.00,0.09,0.00,651.50,0.00
7.499,0.02,0.00,0.09,0.00,660.50,0.00
7.635,0.02,0.00,0.09,0.00,660.50,0.00
7.785,0.02,0.00,0.09,0.00,660.50,0.00
7.934,0.02,0.00,0.09,0.00,660.50,0.00
8.069,0.02,0.00,0.04,0.00,660.50,0.00
8.205,0.02,0.00,0.04,0.00,660.50,0.00
8.339,0.02,0.00,0.04,0.00,657.00,0.00
8.475,0.02,0.00,0.04,0.00,657.00,0.00
8.624,0.02,0.00,0.04,0.00,657.00,0.00
8.775,0.02,0.00,0.04,0.00,657.00,0.00
8.909,0.02,0.00,0.07,0.00,657.00,0.00
9.060,0.02,0.00,0.07,0.00,657.00,0.00
9.196,0.02,0.00,0.07,0.00,654.00,0.00
