Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0,680.50,0
0.135,0,0,0,0,680.50,0.00
0.285,0.02,0,0,0,680.50,0.00
0.420,0.02,0.00,0,0,680.50,0.00
0.572,0.02,0.00,0.15,0,680.50,0.00
0.722,0.02,0.00,0.15,0.00,680.50,0.00
0.870,0.02,0.00,0.15,0.00,658.50,0.00
1.005,0.02,0.00,0.15,0.00,658.50,0.00
1.140,0.02,0.00,0.15,0.00,658.50,0.00
1.291,0.02,0.00,0.15,0.00,658.50,0.00
1.440,0.02,0.00,0.21,0.00,658.50,0.00
1.590,0.02,0.00,0.21,0.00,658.50,0.00
1.740,0.02,0.00,0.21,0.00,657.50,0.00
1.906,0.02,0.00,0.21,0.00,657.50,0.00
2.040,0.02,0.00,0.21,0.00,657.50,0.00
2.175,0.02,0.00,0.21,0.00,657.50,0.00
2.325,0.02,0.00,0.21,0.00,657.50,0.00
2.460,0.02,0.00,0.21,0.00,657.50,0.00
2.612,0.02,0.00,0.21,0.00,657.50,0.00
2.760,0.02,0.00,0.21,0.00,657.50,0.00
2.910,0.03,0.00,0.21,0.00,657.50,0.00
3.060,0.03,0.00,0.21,0.00,657.50,0.00
3.210,0.03,0.00,0.20,0.00,657.50,0.00
3.346,0.03,0.00,0.20,0.00,657.50,0.00
3.480,0.03,0.00,0.20,0.00,655.50,0.00
3.646,0.03,0.00,0.20,0.00,655.50,0.00
3.780,0.03,0.00,0.20,0.00,655.50,0.00
3.930,0.03,0.00,0.20,0.00,655.50,0.00
4.082,0.03,0.00,0.24,0.00,655.50,0.00
4.230,0.03,0.00,0.24,0.00,655.50,0.00
4.380,0.03,0.00,0.24,0.00,653.50,0.00
4.516,0.03,0.00,0.24,0.00,653.50,0.00
4.650,0.02,0.00,0.24,0.00,653.50,0.00
4.801,0.02,0.00,0.24,0.00,653.50,0.00
4.949,0.02,0.00,0.20,0.00,653.50,0.00
5.100,0.02,0.00,0.20,0.00,653.50,0.00
5.249,0.02,0.00,0.20,0.00,649.00,0.00
5.401,0.02,0.00,0.20,0.00,649.00,0.00
5.566,0.03,0.00,0.20,0.00,649.00,0.00
5.699,0.03,0.00,0.20,0.00,649.00,0.00
5.835,0.03,0.00,0.18,0.00,649.00,0.00
5.970,0.03,0.00,0.18,0.00,649.00,0.00
6.119,0.03,0.00,0.18,0.00,653.50,0.00
6.270,0.03,0.00,0.18,0.00,653.50,0.00
6.419,0.03,0.00,0.18,0.00,653.50,0.00
6.570,0.03,0.00,0.18,0.00,653.50,0.00
6.721,0.03,0.00,0.23,0.00,653.50,0.00
6.855,0.03,0.00,0.23,0.00,653.50,0.00
7.005,0.03,0.00,0.23,0.00,656.50,0.00
7.140,0.03,0.00,0.23,0.00,656.50,0.00
7.292,0.02,0.00,0.23,0.00,656.50,0.00
7.440,0.02,0.00,0.23,0.00,656.50,0.00
7.592,0.02,0.00,0.17,0.00,656.50,0.00
7.749,0.02,0.00,0.17,0.00,656.50,0.00
7.890,0.02,0.00,0.17,0.00,663.50,0.00
8.041,0.02,0.00,0.17,0.00,663.50,0.00
8.175,0.03,0.00,0.17,0.00,663.50,0.00
8.310,0.03,0.00,0.17,0.00,663.50,0.00
8.462,0.03,0.00,0.20,0.00,663.50,0.00
8.610,0.03,0.00,0.20,0.00,663.50,0.00
8.760,0.03,0.00,0.20,0.00,655.00,0.00
8.927,0.03,0.00,0.20,0.00,655.00,0.00
9.059,0.03,0.00,0.20,0.00,655.00,0.00
9.210,0.03,0.00,0.20,0.00,655.00,0.00
9.359,0.03,0.00,0.21,0.00,655.00,0.00
9.495,0.03,0.00,0.21,0.00,655.00,0.00
9.632,0.03,0.00,0.21,0.00,652.50,0.00
9.781,0.03,0.00,0.21,0.00,652.50,0.00
9.931,0.03,0.00,0.21,0.00,652.50,0.00
10.080,0.03,0.33,0.21,0.00,652.50,0.00
10.232,0.03,0.33,0.16,0.00,652.50,0.00
10.380,0.03,0.33,0.16,0.00,652.50,0.00
10.529,0.03,0.33,0.16,0.00,691.00,0.00
10.680,0.03,0.33,0.16,0.00,691.00,0.00
10.816,0.03,0.33,0.16,0.00,691.00,0.00
10.965,0.03,0.33,0.16,0.00,691.00,0.00
11.102,0.03,0.33,0.20,0.00,691.00,0.00
11.251,0.03,0.33,0.20,0.00,691.00,0.00
11.400,0.03,0.33,0.20,0.00,687.00,0.00
11.550,0.03,0.33,0.20,0.00,687.00,0.00
11.699,0.03,0.33,0.20,0.00,687.00,0.00
11.851,0.03,0.33,0.20,0.00,687.00,0.00
11.985,0.03,0.33,0.19,0.00,687.00,0.00
12.120,0.03,0.33,0.19,0.00,687.00,0.00
12.287,0.03,0.33,0.19,0.00,673.50,0.00
12.420,0.03,0.33,0.19,0.00,673.50,0.00
12.570,0.03,0.33,0.19,0.00,673.50,0.00
12.722,0.03,0.33,0.19,0.00,673.50,0.00
12.870,0.03,0.33,0.20,0.00,673.50,0.00
13.020,0.03,0.33,0.20,0.00,673.50,0.00
13.169,0.03,0.33,0.20,0.00,669.00,0.00
13.305,0.03,0.33,0.20,0.00,669.00,0.00
13.440,0.03,0.33,0.20,0.00,669.00,0.00
13.590,0.03,0.33,0.20,0.00,669.00,0.00
13.742,0.03,0.33,0.17,0.00,669.00,0.00
13.890,0.03,0.33,0.17,0.00,669.00,0.00
14.042,0.03,0.33,0.17,0.00,672.00,0.00
14.205,0.03,0.33,0.17,0.00,672.00,0.00
14.340,0.03,0.33,0.17,0.00,672.00,0.00
14.492,0.03,0.33,0.17,0.00,672.00,0.00
14.640,0.03,0.33,0.21,0.00,672.00,0.00
14.775,0.03,0.33,0.21,0.00,672.00,0.00
14.910,0.03,0.33,0.21,0.00,672.00,0.00
15.060,0.03,0.33,0.21,0.00,672.00,0.00
15.210,0.03,0.33,0.21,0.00,672.00,0.00
15.360,0.03,0.33,0.21,0.00,672.00,0.00
15.510,0.03,0.33,0.18,0.00,672.00,0.00
15.660,0.03,0.33,0.18,0.00,672.00,0.00
15.810,0.03,0.33,0.18,0.00,677.00,0.00
15.960,0.03,0.33,0.18,0.00,677.00,0.00
16.125,0.03,0.33,0.18,0.00,677.00,0.00
16.260,0.03,0.33,0.18,0.00,677.00,0.00
16.395,0.03,0.33,0.17,0.00,677.00,0.00
16.545,0.03,0.33,0.17,0.00,677.00,0.00
16.679,0.03,0.33,0.17,0.00,681.00,0.00
16.830,0.03,0.33,0.17,0.00,681.00,0.00
16.979,0.03,0.33,0.17,0.00,681.00,0.00
17.130,0.03,0.33,0.17,0.00,681.00,0.00
17.265,0.03,0.33,0.22,0.00,681.00,0.00
17.400,0.03,0.33,0.22,0.00,681.00,0.00
17.565,0.03,0.33,0.22,0.00,686.50,0.00
17.699,0.03,0.33,0.22,0.00,686.50,0.00
17.849,0.03,0.33,0.22,0.00,686.50,0.00
18.000,0.03,0.33,0.22,0.00,686.50,0.00
18.150,0.03,0.33,0.20,0.00,686.50,0.00
18.300,0.03,0.33,0.20,0.00,686.50,0.00
18.450,0.03,0.33,0.20,0.00,679.50,0.00
18.585,0.03,0.33,0.20,0.00,679.50,0.00
18.721,0.03,0.33,0.20,0.00,679.50,0.00
18.870,0.03,0.33,0.20,0.00,679.50,0.00
19.019,0.03,0.33,0.24,0.00,679.50,0.00
19.185,0.03,0.33,0.24,0.00,679.50,0.00
19.319,0.03,0.33,0.24,0.00,684.00,0.00
19.485,0.03,0.33,0.24,0.00,684.00,0.00
19.620,0.03,0.33,0.24,0.00,684.00,0.00
19.769,0.03,0.33,0.24,0.00,684.00,0.00
19.920,0.03,0.33,0.22,0.00,684.00,0.00
20.054,0.03,0.33,0.22,0.00,684.00,0.00
20.189,0.03,0.33,0.22,0.00,606.00,0.00
20.339,0.03,0.33,0.22,0.00,606.00,0.00
20.489,0.03,0.33,0.22,0.00,606.00,0.00
20.640,0.03,0.00,0.22,0.00,606.00,0.00
20.790,0.03,0.00,0.23,0.00,606.00,0.00
20.940,0.03,0.00,0.23,0.00,606.00,0.00
21.106,0.03,0.00,0.23,0.00,661.00,0.00
21.240,0.03,0.00,0.23,0.00,661.00,0.00
21.375,0.03,0.00,0.23,0.00,661.00,0.00
21.525,0.03,0.00,0.23,0.00,661.00,0.00
21.659,0.03,0.00,0.23,0.00,661.00,0.00
21.886,0.03,0.00,0.23,0.00,661.00,0.00
22.020,0.03,0.00,0.23,0.00,656.50,0.00
22.156,0.03,0.00,0.23,0.00,656.50,0.00
22.305,0.03,0.00,0.23,0.00,656.50,0.00
22.441,0.03,0.00,0.23,0.00,656.50,0.00
22.591,0.03,0.00,0.20,0.00,656.50,0.00
22.741,0.03,0.00,0.20,0.00,656.50,0.00
22.890,0.03,0.00,0.20,0.00,646.00,0.00
23.042,0.03,0.00,0.20,0.00,646.00,0.00
23.190,0.04,0.00,0.20,0.00,646.00,0.00
23.342,0.04,13.91,0.20,0.00,646.00,0.00
23.476,0.04,13.91,0.19,0.00,646.00,0.00
23.640,0.04,13.91,0.19,0.00,646.00,0.00
23.806,0.04,13.91,0.19,0.00,843.00,0.00
23.955,0.04,13.91,0.19,0.00,843.00,0.00
24.121,0.04,13.91,0.19,0.00,843.00,0.00
24.285,0.04,15.40,0.19,0.00,843.00,0.00
24.437,0.04,15.40,0.23,0.00,843.00,0.00
24.600,0.04,15.40,0.23,0.00,843.00,0.00
24.765,0.04,15.40,0.23,0.00,922.50,0.00
24.915,0.04,15.40,0.23,0.00,922.50,0.00
25.086,0.04,15.40,0.23,0.00,922.50,0.00
25.246,0.04,16.06,0.23,0.00,922.50,0.00
25.396,0.04,16.06,0.19,0.00,922.50,0.00
25.560,0.04,16.06,0.19,0.00,922.50,0.00
25.726,0.04,16.06,0.19,0.00,995.00,0.00
25.874,0.04,16.06,0.19,0.00,995.00,0.00
26.039,0.04,16.06,0.19,0.00,995.00,0.00
26.177,0.04,16.06,0.19,0.00,995.00,0.00
26.325,0.04,16.06,0.23,0.00,995.00,0.00
26.476,0.04,16.06,0.23,0.00,995.00,0.00
26.624,0.04,16.06,0.23,0.00,1056.00,0.00
26.773,0.04,16.06,0.23,0.00,1056.00,0.00
26.924,0.04,16.06,0.23,0.00,1056.00,0.00
27.076,0.04,27.81,0.23,0.00,1056.00,0.00
27.224,0.04,27.81,0.22,0.00,1056.00,0.00
27.374,0.04,27.81,0.22,0.00,1056.00,0.00
27.524,0.04,27.81,0.22,0.00,1378.50,0.00
27.677,0.04,27.81,0.22,0.00,1378.50,0.00
27.824,0.00,27.81,0.22,0.00,1378.50,0.00
27.989,0.00,100.00,0.22,0.00,1378.50,0.00
28.124,0.00,100.00,-0.07,0.00,1378.50,0.00
28.274,0.00,100.00,-0.07,5.64,1378.50,0.00
28.440,0.00,100.00,-0.07,5.64,2377.50,0.00
28.576,0.00,100.00,-0.07,5.64,2377.50,18.45
28.726,0.00,100.00,-0.07,5.64,2377.50,18.45
28.876,0.00,100.00,-0.07,5.64,2377.50,18.45
29.012,0.00,100.00,-0.52,5.64,2377.50,18.45
29.148,0.00,100.00,-0.52,6.29,2377.50,18.45
29.297,0.00,100.00,-0.52,6.29,4202.00,18.45
29.445,0.00,100.00,-0.52,6.29,4202.00,37.68
29.595,0.00,100.00,-0.52,6.29,4202.00,37.68
29.730,0.00,69.54,-0.52,6.29,4202.00,37.68
29.882,0.00,69.54,2.58,6.29,4202.00,37.68
30.047,0.00,69.54,2.58,3.25,4202.00,37.68
30.195,0.00,69.54,2.58,3.25,4015.00,37.68
30.362,0.00,69.54,2.58,3.25,4015.00,52.25
30.526,0.00,69.54,2.58,3.25,4015.00,52.25
30.661,0.00,28.64,2.58,3.25,4015.00,52.25
30.813,0.00,28.64,6.26,3.25,4015.00,52.25
31.005,0.00,28.64,6.26,0.00,4015.00,52.25
31.157,0.00,28.64,6.26,0.00,4206.50,52.25
31.322,0.00,28.64,6.26,0.00,4206.50,53.90
31.485,0.00,28.64,6.26,0.00,4206.50,53.90
31.636,0.00,65.73,6.26,0.00,4206.50,53.90
31.773,0.00,65.73,-8.05,0.00,4206.50,53.90
31.935,0.00,65.73,-8.05,1.95,4206.50,53.90
32.085,0.00,65.73,-8.05,1.95,4610.00,53.90
32.235,0.00,65.73,-8.05,1.95,4610.00,59.41
32.384,0.00,65.73,-8.05,1.95,4610.00,59.41
32.535,0.00,50.50,-8.05,1.95,4610.00,59.41
32.684,0.00,50.50,9.95,1.95,4610.00,59.41
32.835,0.00,50.50,9.95,1.30,4610.00,59.41
32.986,0.00,50.50,9.95,1.30,5043.50,59.41
33.135,0.00,50.50,9.95,1.30,5043.50,61.48
33.285,0.00,50.50,9.95,1.30,5043.50,61.48
33.435,0.00,0.00,9.95,1.30,5043.50,61.48
33.585,0.00,0.00,3.74,1.30,5043.50,61.48
33.736,0.00,0.00,3.74,-1.95,5043.50,61.48
