Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
0.000,0.02,0,0,0
0.166,0.02,0.00,0,0
0.315,0.02,0.00,0.05,0
0.481,0.02,0.00,0.05,0.00
0.646,0.02,0.00,0.05,0.00
0.795,0.02,0.00,0.05,0.00
0.930,0.02,0.00,-0.05,0.00
1.080,0.02,0.00,-0.05,0.00
1.230,0.02,0.00,-0.05,0.00
1.381,0.02,0.00,-0.05,0.00
1.530,0.02,0.00,0.06,0.00
1.680,0.02,0.00,0.06,0.00
1.832,0.02,0.00,0.06,0.00
1.980,0.02,0.00,0.06,0.00
2.129,0.02,0.00,-0.01,0.00
2.280,0.02,0.00,-0.01,0.00
2.430,0.02,0.00,-0.01,0.00
2.595,0.02,0.00,-0.01,0.00
2.729,0.02,0.00,0.02,0.00
2.880,0.02,0.00,0.02,0.00
3.044,0.02,0.00,0.02,0.00
3.194,0.02,0.00,0.02,0.00
3.329,0.02,0.00,0.03,0.00
3.479,0.02,0.00,0.03,0.00
3.674,0.02,0.00,0.03,0.00
3.840,0.02,0.00,0.03,0.00
4.020,0.02,0.00,0.01,0.00
4.185,0.02,0.00,0.01,0.00
4.319,0.02,0.00,0.01,0.00
4.486,0.02,0.00,0.01,0.00
4.636,0.02,0.00,0.02,0.00
4.770,0.02,0.00,0.02,0.00
4.920,0.02,0.00,0.02,0.00
5.069,0.02,0.00,0.02,0.00
5.219,0.02,0.00,0.03,0.00
5.370,0.02,0.00,0.03,0.00
5.519,0.02,0.00,0.03,0.00
5.670,0.02,0.00,0.03,0.00
5.820,0.02,0.00,-0.03,0.00
5.970,0.02,0.00,-0.03,0.00
6.119,0.02,0.00,-0.03,0.00
6.270,0.02,0.00,-0.03,0.00
6.420,0.02,0.00,0.03,0.00
6.569,0.02,0.00,0.03,0.00
6.719,0.02,0.00,0.03,0.00
6.885,0.02,0.00,0.03,0.00
7.036,0.02,0.00,0.07,0.00
7.171,0.02,0.00,0.07,0.00
7.320,0.02,0.00,0.07,0.00
7.470,0.02,0.00,0.07,0.00
7.620,0.02,0.00,0.07,0.00
7.770,0.02,0.00,0.07,0.00
7.920,0.02,0.00,0.07,0.00
8.070,0.02,0.00,0.07,0.00
8.219,0.02,0.00,0.02,0.00
8.371,0.02,0.00,0.02,0.00
8.520,0.02,0.00,0.02,0.00
8.669,0.02,0.00,0.02,0.00
8.819,0.02,0.00,0.06,0.00
8.970,0.02,0.00,0.06,0.00
9.119,0.02,0.00,0.06,0.00
9.285,0.02,0.00,0.06,0.00
9.435,0.02,0.00,0.01,0.00
9.570,0.02,0.00,0.01,0.00
9.720,0.02,0.00,0.01,0.00
9.870,0.02,0.00,0.01,0.00
10.005,0.02,0.00,-0.02,0.00
10.139,0.02,0.00,-0.02,0.00
10.274,0.02,0.00,-0.02,0.00
10.410,0.02,0.00,-0.02,0.00
10.560,0.02,0.00,0.01,0.00
10.725,0.02,0.00,0.01,0.00
10.875,0.02,0.00,0.01,0.00
11.010,0.02,0.00,0.01,0.00
11.159,0.02,0.00,0.00,0.00
11.295,0.02,0.00,0.00,0.00
11.429,0.02,0.00,0.00,0.00
11.565,0.02,0.00,0.00,0.00
11.700,0.02,0.00,0.00,0.00
11.835,0.02,0.00,0.00,0.00
12.000,0.02,0.00,0.00,0.00
