Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0.00,0,0
0.149,0,0,0,0.00,654.00,0
0.284,0,0,0,0.00,654.00,0.00
0.419,0.02,0,0,0.00,654.00,0.00
0.554,0.02,0.00,0,0.00,654.00,0.00
0.704,0.02,0.00,0.11,0.00,654.00,0.00
0.854,0.02,0.00,0.11,0.00,654.00,0.00
0.989,0.02,0.00,0.11,0.00,655.50,0.00
1.139,0.02,0.00,0.11,0.00,655.50,0.00
1.274,0.02,0.00,0.11,0.00,655.50,0.00
1.409,0.02,0.00,0.11,0.00,655.50,0.00
1.544,0.02,0.00,0.11,0.00,655.50,0.00
1.696,0.02,0.00,0.11,0.00,655.50,0.00
1.829,0.02,0.00,0.11,0.00,653.00,0.00
1.978,0.02,0.00,0.11,0.00,653.00,0.00
2.114,0.02,0.00,0.11,0.00,653.00,0.00
2.264,0.02,0.00,0.11,0.00,653.00,0.00
2.414,0.02,0.00,0.09,0.00,653.00,0.00
2.549,0.02,0.00,0.09,0.00,653.00,0.00
2.699,0.02,0.00,0.09,0.00,653.00,0.00
2.834,0.02,0.00,0.09,0.00,653.00,0.00
2.969,0.02,0.00,0.09,0.00,653.00,0.00
3.119,0.02,0.00,0.09,0.00,653.00,0.00
3.254,0.02,0.00,0.12,0.00,653.00,0.00
3.389,0.02,0.00,0.12,0.00,653.00,0.00
3.539,0.02,0.00,0.12,0.00,654.50,0.00
3.674,0.02,0.00,0.12,0.00,654.50,0.00
3.809,0.02,0.00,0.12,0.00,654.50,0.00
3.944,0.02,0.00,0.12,0.00,654.50,0.00
4.081,0.02,0.00,0.06,0.00,654.50,0.00
4.214,0.02,0.00,0.06,0.00,654.50,0.00
4.348,0.02,0.00,0.06,0.00,655.50,0.00
4.499,0.02,0.00,0.06,0.00,655.50,0.00
4.634,0.02,0.00,0.06,0.00,655.50,0.00
4.769,0.02,0.00,0.06,0.00,655.50,0.00
4.904,0.02,0.00,0.10,0.00,655.50,0.00
5.041,0.02,0.00,0.10,0.00,655.50,0.00
5.190,0.02,0.00,0.10,0.00,653.50,0.00
5.338,0.02,0.00,0.10,0.00,653.50,0.00
5.504,0.02,0.00,0.10,0.00,653.50,0.00
5.638,0.02,0.00,0.10,0.00,653.50,0.00
5.788,0.02,0.00,0.03,0.00,653.50,0.00
5.938,0.02,0.00,0.03,0.00,653.50,0.00
6.073,0.02,0.00,0.03,0.00,657.50,0.00
6.208,0.02,0.00,0.03,0.00,657.50,0.00
6.343,0.02,0.00,0.03,0.00,657.50,0.00
6.479,0.02,0.00,0.03,0.00,657.50,0.00
6.628,0.02,0.00,0.10,0.00,657.50,0.00
