Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0.00,0,0,0,0
0.135,0,0.00,0.01,0,0,0
0.270,0,0.00,0.01,0.00,0,0
0.405,0,0.00,0.01,0.00,672.00,0
0.539,0,0.00,0.01,0.00,672.00,0.00
0.690,0.02,0.00,0.01,0.00,672.00,0.00
0.839,0.02,0.00,0.01,0.00,672.00,0.00
0.990,0.02,0.00,0.02,0.00,672.00,0.00
1.125,0.02,0.00,0.02,0.00,672.00,0.00
1.260,0.02,0.00,0.02,0.00,664.00,0.00
1.394,0.02,0.00,0.02,0.00,664.00,0.00
1.529,0.03,0.00,0.02,0.00,664.00,0.00
1.679,0.03,0.00,0.02,0.00,664.00,0.00
1.845,0.03,0.00,-0.03,0.00,664.00,0.00
1.979,0.03,0.00,-0.03,0.00,664.00,0.00
2.130,0.03,0.00,-0.03,0.00,669.50,0.00
2.280,0.03,0.00,-0.03,0.00,669.50,0.00
2.430,0.03,0.00,-0.03,0.00,669.50,0.00
2.580,0.03,0.00,-0.03,0.00,669.50,0.00
2.715,0.03,0.00,0.01,0.00,669.50,0.00
2.852,0.03,0.00,0.01,0.00,669.50,0.00
2.985,0.03,0.00,0.01,0.00,670.50,0.00
3.120,0.03,0.00,0.01,0.00,670.50,0.00
3.255,0.03,0.00,0.01,0.00,670.50,0.00
3.405,0.03,0.00,0.01,0.00,670.50,0.00
3.540,0.03,0.00,-0.03,0.00,670.50,0.00
3.690,0.03,0.00,-0.03,0.00,670.50,0.00
3.825,0.03,0.00,-0.03,0.00,675.00,0.00
3.960,0.03,0.00,-0.03,0.00,675.00,0.00
4.111,0.03,0.00,-0.03,0.00,675.00,0.00
4.245,0.03,0.00,-0.03,0.00,675.00,0.00
4.381,0.03,0.00,0.00,0.00,675.00,0.00
4.530,0.03,0.00,0.00,0.00,675.00,0.00
4.680,0.03,0.00,0.00,0.00,665.00,0.00
4.815,0.03,0.00,0.00,0.00,665.00,0.00
4.951,0.03,0.00,0.00,0.00,665.00,0.00
5.085,0.03,0.00,0.00,0.00,665.00,0.00
5.220,0.03,0.00,0.02,0.00,665.00,0.00
5.370,0.03,0.00,0.02,0.00,665.00,0.00
5.535,0.03,0.00,0.02,0.00,664.00,0.00
5.687,0.03,0.00,0.02,0.00,664.00,0.00
5.820,0.03,0.00,0.02,0.00,664.00,0.00
6.000,0.03,0.00,0.02,0.00,664.00,0.00
6.165,0.03,0.00,0.07,0.00,664.00,0.00
6.330,0.03,0.00,0.07,0.00,664.00,0.00
6.480,0.03,0.00,0.07,0.00,658.50,0.00
6.615,0.03,0.00,0.07,0.00,658.50,0.00
6.765,0.03,0.00,0.07,0.00,658.50,0.00
6.915,0.03,0.00,0.07,0.00,658.50,0.00
7.065,0.03,0.00,-0.01,0.00,658.50,0.00
7.214,0.03,0.00,-0.01,0.00,658.50,0.00
7.365,0.03,0.00,-0.01,0.00,654.50,0.00
7.517,0.03,0.00,-0.01,0.00,654.50,0.00
7.665,0.03,0.00,-0.01,0.00,654.50,0.00
7.830,0.03,0.00,-0.01,0.00,654.50,0.00
7.967,0.03,0.00,-0.00,0.00,654.50,0.00
8.115,0.03,0.00,-0.00,0.00,654.50,0.00
8.265,0.03,0.00,-0.00,0.00,657.50,0.00
8.415,0.03,0.00,-0.00,0.00,657.50,0.00
8.565,0.03,0.00,-0.00,0.00,657.50,0.00
8.730,0.03,0.00,-0.00,0.00,657.50,0.00
8.880,0.03,0.00,-0.01,0.00,657.50,0.00
9.015,0.03,0.00,-0.01,0.00,657.50,0.00
9.165,0.03,0.00,-0.01,0.00,658.50,0.00
9.314,0.03,0.00,-0.01,0.00,658.50,0.00
9.465,0.03,0.00,-0.01,0.00,658.50,0.00
9.615,0.03,0.00,-0.01,0.00,658.50,0.00
9.765,0.03,0.00,-0.02,0.00,658.50,0.00
9.915,0.03,0.00,-0.02,0.00,658.50,0.00
10.065,0.03,0.00,-0.02,0.00,658.00,0.00
10.215,0.03,0.00,-0.02,0.00,658.00,0.00
10.366,0.03,0.00,-0.02,0.00,658.00,0.00
10.517,0.03,0.00,-0.02,0.00,658.00,0.00
10.665,0.03,0.00,0.04,0.00,658.00,0.00
10.814,0.03,0.00,0.04,0.00,658.00,0.00
10.965,0.03,0.00,0.04,0.00,661.50,0.00
11.130,0.03,0.00,0.04,0.00,661.50,0.00
11.294,0.03,0.00,0.04,0.00,661.50,0.00
11.444,0.03,0.00,0.04,0.00,661.50,0.00
11.609,0.03,0.00,-0.04,0.00,661.50,0.00
11.791,0.03,0.00,-0.04,0.00,661.50,0.00
11.925,0.03,0.00,-0.04,0.00,690.50,0.00
12.059,0.03,0.00,-0.04,0.00,690.50,0.00
12.209,0.03,0.00,-0.04,0.00,690.50,0.00
12.359,0.03,0.00,-0.04,0.00,690.50,0.00
12.495,0.03,0.00,0.01,0.00,690.50,0.00
12.645,0.03,0.00,0.01,0.00,690.50,0.00
12.780,0.03,0.00,0.01,0.00,677.00,0.00
12.915,0.03,0.00,0.01,0.00,677.00,0.00
13.080,0.04,0.00,0.01,0.00,677.00,0.00
13.214,0.04,0.00,0.01,0.00,677.00,0.00
13.365,0.04,0.00,-0.02,0.00,677.00,0.00
13.530,0.04,0.00,-0.02,0.00,677.00,0.00
13.710,0.04,0.00,-0.02,0.00,679.50,0.00
13.875,0.04,0.00,-0.02,0.00,679.50,0.00
14.024,0.04,0.00,-0.02,0.00,679.50,0.00
14.174,0.04,31.46,-0.02,0.00,679.50,0.00
14.356,0.04,31.46,0.04,0.00,679.50,0.00
14.505,0.04,31.46,0.04,0.00,679.50,0.00
14.655,0.04,31.46,0.04,0.00,1319.00,0.00
14.820,0.04,31.46,0.04,0.00,1319.00,0.00
14.970,0.01,31.46,0.04,0.00,1319.00,0.00
15.134,0.01,89.40,0.04,0.00,1319.00,0.00
15.284,0.01,89.40,-0.14,0.00,1319.00,0.00
15.450,0.01,89.40,-0.14,6.29,1319.00,0.00
15.600,0.01,89.40,-0.14,6.29,2385.00,0.00
15.764,0.01,89.40,-0.14,6.29,2385.00,17.80
15.929,0.00,89.40,-0.14,6.29,2385.00,17.80
16.094,0.00,100.00,-0.14,6.29,2385.00,17.80
16.245,0.00,100.00,-0.50,6.29,2385.00,17.80
16.410,0.00,100.00,-0.50,6.73,2385.00,17.80
16.560,0.00,100.00,-0.50,6.73,4479.00,17.80
16.695,0.00,100.00,-0.50,6.73,4479.00,40.41
16.860,0.00,100.00,-0.50,6.73,4479.00,40.41
17.040,0.00,100.00,-0.50,6.73,4479.00,40.41
17.175,0.00,100.00,0.20,6.73,4479.00,40.41
