Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
0.000,0,0.00,0,0
0.480,0,0.00,0.02,0
0.960,0,0.00,0.02,0.00
1.440,0.02,0.00,0.02,0.00
1.920,0.02,0.00,0.02,0.00
2.400,0.02,0.00,-0.01,0.00
2.880,0.02,0.00,-0.01,0.00
3.359,0.02,0.00,-0.01,0.00
3.840,0.02,0.00,-0.01,0.00
4.319,0.02,0.00,0.03,0.00
4.800,0.02,0.00,0.03,0.00
5.279,0.02,0.00,0.03,0.00
5.759,0.02,0.00,0.03,0.00
6.239,0.02,0.00,-0.01,0.00
6.719,0.02,0.00,-0.01,0.00
7.200,0.02,0.00,-0.01,0.00
7.680,0.02,0.00,-0.01,0.00
8.160,0.02,0.00,-0.01,0.00
8.640,0.02,0.00,-0.01,0.00
9.119,0.02,0.00,-0.01,0.00
9.600,0.02,0.00,-0.01,0.00
10.079,0.02,0.00,-0.02,0.00
10.560,0.02,0.00,-0.02,0.00
11.040,0.02,0.00,-0.02,0.00
11.520,0.02,0.00,-0.02,0.00
12.000,0.02,0.00,-0.05,0.00
12.480,0.02,0.00,-0.05,0.00
12.960,0.02,0.00,-0.05,0.00
13.441,0.02,0.00,-0.05,0.00
13.920,0.02,0.00,-0.01,0.00
14.400,0.02,0.00,-0.01,0.00
14.880,0.02,0.00,-0.01,0.00
15.360,0.02,0.00,-0.01,0.00
15.840,0.02,0.00,0.04,0.00
16.320,0.02,0.00,0.04,0.00
16.802,0.02,0.00,0.04,0.00
17.280,0.02,0.00,0.04,0.00
17.760,0.02,0.00,-0.05,0.00
18.240,0.02,0.00,-0.05,0.00
18.720,0.02,0.00,-0.05,0.00
19.201,0.02,0.00,-0.05,0.00
19.680,0.02,0.00,-0.05,0.00
20.160,0.02,0.00,-0.05,0.00
20.640,0.02,0.00,-0.05,0.00
21.121,0.02,0.00,-0.05,0.00
21.603,0.02,0.00,-0.07,0.00
22.080,0.02,0.00,-0.07,0.00
22.560,0.02,0.00,-0.07,0.00
23.040,0.02,0.00,-0.07,0.00
23.520,0.02,0.00,-0.02,0.00
24.000,0.02,0.00,-0.02,0.00
24.480,0.02,0.00,-0.02,0.00
24.960,0.02,40.23,-0.02,0.00
25.440,0.02,40.23,-0.16,0.00
25.920,0.02,40.23,-0.16,5.42
26.400,0.00,40.23,-0.16,5.42
26.879,0.00,91.06,-0.16,5.42
27.360,0.00,91.06,1.69,5.42
27.840,0.00,91.06,1.69,3.04
28.320,0.00,91.06,1.69,3.04
28.800,0.00,32.12,1.69,3.04
29.278,0.00,32.12,-6.80,3.04
29.760,0.00,32.12,-6.80,1.74
30.240,0.00,32.12,-6.80,1.74
30.720,0.00,32.45,-6.80,1.74
31.200,0.00,32.45,5.67,1.74
31.680,0.00,32.45,5.67,0.87
32.159,0.00,32.45,5.67,0.87
32.640,0.00,0.00,5.67,0.87
33.150,0.00,0.00,-3.66,0.87
33.630,0.00,0.00,-3.66,2.17
34.110,0.00,0.00,-3.66,2.17
34.575,0.00,50.99,-3.66,2.17
35.040,0.00,50.99,7.22,2.17
35.520,0.00,50.99,7.22,-0.87
36.000,0.04,50.99,7.22,-0.87
36.480,0.04,0.00,7.22,-0.87
36.959,0.04,0.00,8.40,-0.87
37.454,0.04,0.00,8.40,1.30
37.935,0.00,0.00,8.40,1.30
38.415,0.00,100.00,8.40,1.30
38.909,0.00,100.00,-4.27,1.30
39.375,0.00,100.00,-4.27,-1.52
39.842,0.00,100.00,-4.27,-1.52
40.320,0.00,100.00,-4.27,-1.52
40.800,0.00,100.00,0.08,-1.52
41.295,0.00,100.00,0.08,-6.94
41.774,0.00,100.00,0.08,-6.94
42.240,0.00,78.64,0.08,-6.94
42.750,0.00,78.64,6.68,-6.94
43.215,0.00,78.64,6.68,3.69
43.680,0.02,78.64,6.68,3.69
44.160,0.02,56.79,6.68,3.69
44.640,0.02,56.79,-8.53,3.69
45.122,0.02,56.79,-8.53,2.39
45.602,0.00,56.79,-8.53,2.39
46.080,0.00,0.00,-8.53,2.39
46.560,0.00,0.00,8.04,2.39
47.039,0.00,0.00,8.04,0.87
