Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0.00,0,0,0,0
0.165,0,0.00,0.01,0,0,0
0.330,0,0.00,0.01,0.00,0,0
0.479,0,0.00,0.01,0.00,662.00,0
0.645,0,0.00,0.01,0.00,662.00,0.00
0.809,0.02,0.00,0.01,0.00,662.00,0.00
0.975,0.02,0.00,0.01,0.00,662.00,0.00
1.124,0.02,0.00,0.04,0.00,662.00,0.00
1.290,0.02,0.00,0.04,0.00,662.00,0.00
1.439,0.02,0.00,0.04,0.00,656.50,0.00
1.604,0.02,0.00,0.04,0.00,656.50,0.00
1.770,0.02,0.00,0.04,0.00,656.50,0.00
1.920,0.02,0.00,0.04,0.00,656.50,0.00
2.084,0.02,0.00,0.02,0.00,656.50,0.00
2.250,0.02,0.00,0.02,0.00,656.50,0.00
2.399,0.02,0.00,0.02,0.00,659.00,0.00
2.565,0.02,0.00,0.02,0.00,659.00,0.00
2.729,0.02,0.00,0.02,0.00,659.00,0.00
2.895,0.02,0.00,0.02,0.00,659.00,0.00
3.044,0.02,0.00,0.04,0.00,659.00,0.00
3.210,0.02,0.00,0.04,0.00,659.00,0.00
3.360,0.02,0.00,0.04,0.00,661.00,0.00
3.526,0.02,0.00,0.04,0.00,661.00,0.00
3.690,0.02,0.00,0.04,0.00,661.00,0.00
3.840,0.02,0.00,0.04,0.00,661.00,0.00
4.005,0.02,0.00,0.06,0.00,661.00,0.00
4.170,0.02,0.00,0.06,0.00,661.00,0.00
4.340,0.02,0.00,0.06,0.00,657.00,0.00
4.485,0.02,0.00,0.06,0.00,657.00,0.00
4.649,0.02,0.00,0.06,0.00,657.00,0.00
4.815,0.02,0.00,0.06,0.00,657.00,0.00
4.964,0.02,0.00,0.01,0.00,657.00,0.00
5.130,0.02,0.00,0.01,0.00,657.00,0.00
5.280,0.02,0.00,0.01,0.00,659.50,0.00
5.445,0.02,0.00,0.01,0.00,659.50,0.00
5.610,0.02,0.00,0.01,0.00,659.50,0.00
5.775,0.02,0.00,0.01,0.00,659.50,0.00
5.925,0.02,0.00,0.01,0.00,659.50,0.00
6.089,0.02,0.00,0.01,0.00,659.50,0.00
6.240,0.02,0.00,0.01,0.00,663.00,0.00
6.405,0.02,0.00,0.01,0.00,663.00,0.00
6.569,0.02,0.00,0.01,0.00,663.00,0.00
6.734,0.02,0.00,0.01,0.00,663.00,0.00
6.885,0.02,0.00,0.00,0.00,663.00,0.00
7.049,0.02,0.00,0.00,0.00,663.00,0.00
7.200,0.02,0.00,0.00,0.00,658.00,0.00
