Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
0.000,0.02,0,0,0
0.151,0.02,0.00,0,0
0.315,0.02,0.00,-0.04,0
0.465,0.02,0.00,-0.04,0.00
0.632,0.02,0.00,-0.04,0.00
0.797,0.02,0.00,-0.04,0.00
0.946,0.02,0.00,-0.01,0.00
1.080,0.02,0.00,-0.01,0.00
1.247,0.02,0.00,-0.01,0.00
1.425,0.02,0.00,-0.01,0.00
1.560,0.02,0.00,-0.00,0.00
1.712,0.02,0.00,-0.00,0.00
1.862,0.02,0.00,-0.00,0.00
2.012,0.02,0.00,-0.00,0.00
2.160,0.02,0.00,-0.04,0.00
2.310,0.02,0.00,-0.04,0.00
2.459,0.02,0.00,-0.04,0.00
2.610,0.02,0.00,-0.04,0.00
2.760,0.02,0.00,-0.03,0.00
2.909,0.02,0.00,-0.03,0.00
3.060,0.02,0.00,-0.03,0.00
3.209,0.02,0.00,-0.03,0.00
3.360,0.02,0.00,-0.03,0.00
3.510,0.02,0.00,-0.03,0.00
3.675,0.02,0.00,-0.03,0.00
3.840,0.02,0.00,-0.03,0.00
3.989,0.02,0.00,0.00,0.00
4.156,0.02,0.00,0.00,0.00
4.305,0.02,0.00,0.00,0.00
4.469,0.02,0.00,0.00,0.00
4.636,0.02,0.00,0.00,0.00
4.785,0.02,0.00,0.00,0.00
4.920,0.02,0.00,0.00,0.00
5.088,0.02,0.00,0.00,0.00
5.265,0.02,0.00,-0.01,0.00
5.400,0.02,0.00,-0.01,0.00
5.551,0.02,0.00,-0.01,0.00
5.700,0.02,0.00,-0.01,0.00
5.850,0.02,0.00,-0.01,0.00
6.000,0.02,0.00,-0.01,0.00
6.136,0.02,0.00,-0.01,0.00
6.285,0.02,0.00,-0.01,0.00
6.420,0.02,0.00,-0.03,0.00
6.570,0.02,0.00,-0.03,0.00
6.720,0.02,0.00,-0.03,0.00
6.870,0.02,0.00,-0.03,0.00
7.036,0.02,0.00,0.01,0.00
7.185,0.02,0.00,0.01,0.00
7.350,0.02,0.00,0.01,0.00
7.515,0.02,0.00,0.01,0.00
7.680,0.02,0.00,-0.08,0.00
7.830,0.02,0.00,-0.08,0.00
7.995,0.02,0.00,-0.08,0.00
8.145,0.02,0.00,-0.08,0.00
8.310,0.02,0.00,-0.08,0.00
8.477,0.02,0.00,-0.08,0.00
8.627,0.02,0.00,-0.08,0.00
8.790,0.02,0.00,-0.08,0.00
8.955,0.02,0.00,-0.00,0.00
9.107,0.02,0.00,-0.00,0.00
9.243,0.02,0.00,-0.00,0.00
9.393,0.02,0.00,-0.00,0.00
9.540,0.02,0.00,0.01,0.00
9.693,0.02,0.00,0.01,0.00
9.840,0.02,0.00,0.01,0.00
9.975,0.02,0.00,0.01,0.00
10.112,0.02,0.00,-0.06,0.00
10.262,0.02,0.00,-0.06,0.00
10.410,0.02,0.00,-0.06,0.00
10.560,0.02,0.00,-0.06,0.00
10.710,0.02,0.00,0.00,0.00
10.876,0.02,0.00,0.00,0.00
11.025,0.02,0.00,0.00,0.00
11.191,0.02,0.00,0.00,0.00
11.355,0.02,0.00,0.02,0.00
11.520,0.02,0.00,0.02,0.00
11.671,0.02,0.00,0.02,0.00
11.836,0.02,0.00,0.02,0.00
11.984,0.02,0.00,-0.08,0.00
12.151,0.02,0.00,-0.08,0.00
12.315,0.02,0.00,-0.08,0.00
12.465,0.02,0.00,-0.08,0.00
12.630,0.02,0.00,-0.00,0.00
12.796,0.02,0.00,-0.00,0.00
12.945,0.02,0.00,-0.00,0.00
13.080,0.02,0.00,-0.00,0.00
13.245,0.02,0.00,0.00,0.00
13.426,0.02,0.00,0.00,0.00
13.560,0.02,0.00,0.00,0.00
13.714,0.02,0.00,0.00,0.00
13.862,0.02,0.00,-0.02,0.00
14.011,0.02,0.00,-0.02,0.00
14.146,0.02,0.00,-0.02,0.00
14.281,0.02,0.00,-0.02,0.00
14.430,0.02,0.00,-0.04,0.00
14.580,0.02,0.00,-0.04,0.00
14.730,0.02,0.00,-0.04,0.00
14.880,0.02,0.00,-0.04,0.00
15.030,0.02,0.00,-0.01,0.00
15.165,0.02,0.00,-0.01,0.00
15.315,0.02,0.00,-0.01,0.00
15.480,0.02,0.00,-0.01,0.00
15.646,0.02,0.00,-0.03,0.00
15.825,0.02,0.00,-0.03,0.00
15.990,0.02,0.00,-0.03,0.00
16.156,0.02,0.00,-0.03,0.00
16.306,0.02,0.00,-0.04,0.00
16.471,0.02,0.00,-0.04,0.00
16.635,0.02,0.00,-0.04,0.00
16.785,0.02,0.00,-0.04,0.00
16.950,0.02,0.00,-0.04,0.00
17.115,0.02,0.00,-0.04,0.00
17.280,0.02,0.00,-0.04,0.00
17.430,0.02,0.00,-0.04,0.00
17.595,0.02,0.00,-0.01,0.00
17.745,0.02,0.00,-0.01,0.00
17.910,0.02,0.00,-0.01,0.00
18.076,0.02,0.00,-0.01,0.00
18.225,0.02,0.00,-0.03,0.00
18.360,0.02,0.00,-0.03,0.00
18.510,0.02,0.00,-0.03,0.00
18.660,0.02,0.00,-0.03,0.00
18.810,0.02,0.00,-0.04,0.00
18.960,0.02,0.00,-0.04,0.00
19.096,0.02,0.00,-0.04,0.00
19.230,0.02,0.00,-0.04,0.00
19.395,0.02,0.00,-0.03,0.00
19.530,0.02,0.00,-0.03,0.00
19.695,0.02,0.00,-0.03,0.00
19.845,0.02,0.00,-0.03,0.00
19.995,0.02,0.00,-0.05,0.00
20.146,0.02,0.00,-0.05,0.00
20.310,0.02,0.00,-0.05,0.00
20.475,0.02,0.00,-0.05,0.00
20.624,0.02,0.00,0.02,0.00
20.790,0.02,0.00,0.02,0.00
20.955,0.02,0.00,0.02,0.00
21.120,0.02,0.00,0.02,0.00
21.271,0.02,0.00,0.00,0.00
21.435,0.02,0.00,0.00,0.00
21.584,0.02,0.00,0.00,0.00
21.750,0.02,0.00,0.00,0.00
21.916,0.02,0.00,0.00,0.00
22.065,0.02,0.00,0.00,0.00
22.200,0.02,0.00,0.00,0.00
22.350,0.02,0.00,0.00,0.00
22.501,0.02,0.00,-0.05,0.00
22.650,0.02,0.00,-0.05,0.00
22.785,0.02,0.00,-0.05,0.00
22.921,0.02,0.00,-0.05,0.00
23.071,0.02,0.00,-0.00,0.00
23.220,0.02,0.00,-0.00,0.00
23.370,0.02,0.00,-0.00,0.00
23.535,0.02,0.00,-0.00,0.00
23.685,0.02,0.00,-0.01,0.00
23.835,0.02,0.00,-0.01,0.00
23.985,0.02,0.00,-0.01,0.00
24.151,0.02,0.00,-0.01,0.00
24.316,0.02,0.00,-0.03,0.00
24.465,0.02,0.00,-0.03,0.00
24.631,0.02,0.00,-0.03,0.00
24.795,0.02,0.00,-0.03,0.00
24.960,0.02,0.00,-0.03,0.00
25.110,0.02,0.00,-0.03,0.00
25.276,0.02,0.00,-0.03,0.00
25.425,0.02,0.00,-0.03,0.00
25.590,0.02,0.00,-0.01,0.00
25.756,0.02,0.00,-0.01,0.00
25.905,0.02,0.00,-0.01,0.00
26.040,0.02,0.00,-0.01,0.00
26.205,0.02,0.00,-0.09,0.00
26.385,0.02,0.00,-0.09,0.00
26.520,0.02,0.00,-0.09,0.00
26.670,0.02,0.00,-0.09,0.00
26.820,0.02,0.00,0.00,0.00
26.970,0.02,0.00,0.00,0.00
27.118,0.02,0.00,0.00,0.00
27.256,0.02,0.00,0.00,0.00
27.389,0.02,0.00,-0.02,0.00
27.541,0.02,0.00,-0.02,0.00
27.690,0.02,0.00,-0.02,0.00
27.840,0.02,0.00,-0.02,0.00
27.990,0.02,0.00,0.01,0.00
28.156,0.02,0.00,0.01,0.00
28.305,0.02,0.00,0.01,0.00
28.441,0.02,0.00,0.01,0.00
28.605,0.02,0.00,-0.02,0.00
28.755,0.02,0.00,-0.02,0.00
28.920,0.02,0.00,-0.02,0.00
29.070,0.02,0.00,-0.02,0.00
29.220,0.02,0.00,-0.01,0.00
29.370,0.02,0.00,-0.01,0.00
29.520,0.02,0.00,-0.01,0.00
29.670,0.02,0.00,-0.01,0.00
29.820,0.02,0.00,-0.01,0.00
29.970,0.02,0.00,-0.01,0.00
30.105,0.02,0.00,-0.01,0.00
30.240,0.02,0.00,-0.01,0.00
30.390,0.02,0.00,0.00,0.00
30.556,0.02,0.00,0.00,0.00
30.705,0.02,0.00,0.00,0.00
30.871,0.02,0.00,0.00,0.00
31.035,0.02,0.00,-0.06,0.00
31.185,0.02,0.00,-0.06,0.00
31.350,0.02,0.00,-0.06,0.00
