Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
0.000,0,0.00,0,0
0.151,0,0.00,0.02,0
0.301,0,0.00,0.02,0.00
0.435,0.02,0.00,0.02,0.00
0.571,0.02,0.00,0.02,0.00
0.706,0.02,0.00,0.00,0.00
0.855,0.02,0.00,0.00,0.00
0.990,0.02,0.00,0.00,0.00
1.140,0.02,0.00,0.00,0.00
1.276,0.02,0.00,0.00,0.00
1.425,0.02,0.00,0.00,0.00
1.597,0.02,0.00,0.00,0.00
1.743,0.02,0.00,0.00,0.00
1.875,0.02,0.00,0.04,0.00
2.011,0.02,0.00,0.04,0.00
2.145,0.02,0.00,0.04,0.00
2.280,0.02,0.00,0.04,0.00
2.431,0.02,0.00,0.05,0.00
2.580,0.02,0.00,0.05,0.00
2.715,0.02,0.00,0.05,0.00
2.865,0.02,0.00,0.05,0.00
3.000,0.02,0.00,0.01,0.00
3.135,0.02,0.00,0.01,0.00
3.270,0.02,0.00,0.01,0.00
3.420,0.02,0.00,0.01,0.00
3.555,0.02,0.00,-0.02,0.00
3.705,0.02,0.00,-0.02,0.00
3.840,0.02,0.00,-0.02,0.00
3.990,0.02,0.00,-0.02,0.00
4.155,0.02,0.00,0.05,0.00
4.307,0.02,0.00,0.05,0.00
4.440,0.03,0.00,0.05,0.00
4.575,0.03,0.00,0.05,0.00
4.710,0.03,0.00,-0.02,0.00
4.845,0.03,0.00,-0.02,0.00
4.997,0.02,0.00,-0.02,0.00
5.147,0.02,0.00,-0.02,0.00
5.280,0.02,0.00,0.06,0.00
5.430,0.02,0.00,0.06,0.00
5.581,0.02,0.00,0.06,0.00
5.715,0.02,0.00,0.06,0.00
5.850,0.02,0.00,-0.02,0.00
5.985,0.02,0.00,-0.02,0.00
6.120,0.02,0.00,-0.02,0.00
6.270,0.02,0.00,-0.02,0.00
6.421,0.02,0.00,-0.00,0.00
6.555,0.02,0.00,-0.00,0.00
6.705,0.02,0.00,-0.00,0.00
6.840,0.02,0.00,-0.00,0.00
6.974,0.02,0.00,0.04,0.00
7.110,0.02,0.00,0.04,0.00
7.260,0.02,0.00,0.04,0.00
7.395,0.02,0.00,0.04,0.00
7.545,0.02,0.00,0.00,0.00
7.680,0.02,0.00,0.00,0.00
7.830,0.02,0.00,0.00,0.00
7.980,0.02,0.00,0.00,0.00
8.115,0.02,0.00,0.02,0.00
8.250,0.02,0.00,0.02,0.00
8.385,0.02,0.00,0.02,0.00
8.535,0.02,0.00,0.02,0.00
8.670,0.02,0.00,0.03,0.00
8.820,0.02,0.00,0.03,0.00
8.955,0.02,0.00,0.03,0.00
9.105,0.02,0.00,0.03,0.00
9.240,0.02,0.00,0.03,0.00
9.375,0.02,0.00,0.03,0.00
9.510,0.02,0.00,0.03,0.00
9.645,0.02,0.00,0.03,0.00
9.782,0.02,0.00,0.03,0.00
9.946,0.02,0.00,0.03,0.00
10.080,0.02,0.00,0.03,0.00
10.230,0.02,0.00,0.03,0.00
10.380,0.02,0.00,-0.02,0.00
10.514,0.02,0.00,-0.02,0.00
10.650,0.02,0.00,-0.02,0.00
10.785,0.02,0.00,-0.02,0.00
10.920,0.02,0.00,-0.05,0.00
11.070,0.02,0.00,-0.05,0.00
11.220,0.02,0.00,-0.05,0.00
11.355,0.02,0.00,-0.05,0.00
11.505,0.02,0.00,0.01,0.00
11.640,0.02,0.00,0.01,0.00
11.775,0.02,0.00,0.01,0.00
11.910,0.02,0.00,0.01,0.00
12.045,0.02,0.00,0.00,0.00
12.182,0.02,0.00,0.00,0.00
12.318,0.02,0.00,0.00,0.00
12.467,0.02,0.00,0.00,0.00
12.601,0.02,0.00,0.03,0.00
12.735,0.02,0.00,0.03,0.00
12.870,0.02,0.00,0.03,0.00
13.020,0.02,0.00,0.03,0.00
13.157,0.02,0.00,0.04,0.00
13.305,0.02,0.00,0.04,0.00
13.440,0.02,0.00,0.04,0.00
13.590,0.02,0.00,0.04,0.00
13.742,0.02,0.00,-0.01,0.00
13.875,0.02,0.00,-0.01,0.00
14.010,0.02,0.00,-0.01,0.00
14.145,0.02,0.00,-0.01,0.00
14.295,0.02,0.00,-0.03,0.00
14.430,0.02,0.00,-0.03,0.00
14.580,0.02,0.00,-0.03,0.00
14.715,0.02,0.00,-0.03,0.00
14.865,0.02,0.00,0.06,0.00
15.000,0.02,0.00,0.06,0.00
15.135,0.02,0.00,0.06,0.00
15.270,0.02,0.00,0.06,0.00
15.405,0.02,0.00,0.01,0.00
15.540,0.02,0.00,0.01,0.00
15.705,0.02,0.00,0.01,0.00
15.840,0.02,0.00,0.01,0.00
15.989,0.02,0.00,-0.01,0.00
16.140,0.02,0.00,-0.01,0.00
16.274,0.02,0.00,-0.01,0.00
16.410,0.02,0.00,-0.01,0.00
16.545,0.02,0.00,0.01,0.00
16.680,0.02,0.00,0.01,0.00
16.830,0.02,0.00,0.01,0.00
16.980,0.02,0.00,0.01,0.00
17.115,0.02,0.00,-0.02,0.00
17.265,0.02,0.00,-0.02,0.00
17.400,0.02,0.00,-0.02,0.00
17.535,0.02,0.00,-0.02,0.00
17.671,0.02,0.00,-0.04,0.00
17.805,0.02,0.00,-0.04,0.00
17.940,0.02,0.00,-0.04,0.00
18.075,0.02,0.00,-0.04,0.00
18.225,0.02,0.00,0.03,0.00
18.360,0.02,0.00,0.03,0.00
18.495,0.02,0.00,0.03,0.00
18.630,0.02,0.00,0.03,0.00
18.780,0.02,0.00,-0.01,0.00
18.915,0.02,0.00,-0.01,0.00
19.065,0.02,0.00,-0.01,0.00
19.200,0.02,0.00,-0.01,0.00
19.350,0.02,0.00,0.02,0.00
19.500,0.02,0.00,0.02,0.00
19.637,0.02,0.00,0.02,0.00
19.770,0.02,0.00,0.02,0.00
19.905,0.02,0.00,0.04,0.00
20.055,0.02,0.00,0.04,0.00
20.190,0.02,0.00,0.04,0.00
20.355,0.02,0.00,0.04,0.00
20.505,0.02,0.00,0.03,0.00
20.640,0.02,0.00,0.03,0.00
20.790,0.02,0.00,0.03,0.00
20.940,0.02,0.00,0.03,0.00
21.076,0.02,0.00,0.01,0.00
21.210,0.02,0.00,0.01,0.00
21.345,0.02,0.00,0.01,0.00
21.480,0.02,0.00,0.01,0.00
21.632,0.02,0.00,-0.01,0.00
21.781,0.02,0.00,-0.01,0.00
21.915,0.02,0.00,-0.01,0.00
22.067,0.02,0.00,-0.01,0.00
22.200,0.02,0.00,0.03,0.00
22.335,0.02,0.00,0.03,0.00
22.470,0.02,0.00,0.03,0.00
22.620,0.02,0.00,0.03,0.00
22.756,0.02,0.00,0.01,0.00
22.905,0.02,0.00,0.01,0.00
23.040,0.02,0.00,0.01,0.00
23.190,0.02,0.00,0.01,0.00
23.340,0.02,0.00,-0.01,0.00
23.475,0.02,0.00,-0.01,0.00
23.610,0.02,0.00,-0.01,0.00
23.747,0.02,0.00,-0.01,0.00
23.895,0.02,0.00,0.02,0.00
24.031,0.02,0.00,0.02,0.00
24.182,0.02,0.00,0.02,0.00
24.315,0.02,0.00,0.02,0.00
24.465,0.02,0.00,0.00,0.00
24.600,0.02,0.00,0.00,0.00
24.735,0.02,0.00,0.00,0.00
24.870,0.02,0.00,0.00,0.00
25.005,0.02,0.00,-0.01,0.00
25.143,0.02,0.00,-0.01,0.00
25.305,0.02,0.00,-0.01,0.00
25.440,0.02,0.00,-0.01,0.00
25.590,0.02,0.00,0.02,0.00
25.743,0.02,0.00,0.02,0.00
25.875,0.02,0.00,0.02,0.00
26.010,0.02,0.00,0.02,0.00
26.145,0.02,0.00,-0.02,0.00
26.280,0.02,0.00,-0.02,0.00
26.430,0.02,0.00,-0.02,0.00
26.580,0.02,0.00,-0.02,0.00
26.715,0.02,0.00,-0.01,0.00
26.866,0.02,0.00,-0.01,0.00
26.999,0.02,0.00,-0.01,0.00
27.135,0.02,0.00,-0.01,0.00
27.270,0.02,0.00,-0.00,0.00
27.406,0.02,0.00,-0.00,0.00
27.540,0.02,0.00,-0.00,0.00
27.675,0.02,0.00,-0.00,0.00
27.825,0.02,0.00,0.01,0.00
27.960,0.02,0.00,0.01,0.00
28.095,0.02,0.00,0.01,0.00
28.230,0.02,0.00,0.01,0.00
28.381,0.02,0.00,-0.01,0.00
28.516,0.02,0.00,-0.01,0.00
28.666,0.02,0.00,-0.01,0.00
28.800,0.02,0.00,-0.01,0.00
28.952,0.02,0.00,0.01,0.00
29.100,0.02,0.00,0.01,0.00
29.236,0.02,0.00,0.01,0.00
29.370,0.02,0.00,0.01,0.00
29.505,0.02,0.00,0.05,0.00
29.655,0.02,0.00,0.05,0.00
29.790,0.02,0.00,0.05,0.00
29.940,0.02,0.00,0.05,0.00
30.075,0.02,0.00,0.01,0.00
30.226,0.02,0.00,0.01,0.00
30.359,0.02,0.00,0.01,0.00
30.495,0.02,0.00,0.01,0.00
30.630,0.02,0.00,0.00,0.00
30.767,0.02,0.00,0.00,0.00
30.900,0.02,0.00,0.00,0.00
31.064,0.02,0.00,0.00,0.00
31.201,0.02,0.00,0.02,0.00
31.350,0.02,0.00,0.02,0.00
31.499,0.02,0.00,0.02,0.00
31.636,0.02,0.00,0.02,0.00
31.771,0.02,0.00,0.00,0.00
31.905,0.02,0.00,0.00,0.00
32.040,0.02,0.00,0.00,0.00
32.190,0.02,0.00,0.00,0.00
32.339,0.02,0.00,-0.00,0.00
32.475,0.02,0.00,-0.00,0.00
32.625,0.02,0.00,-0.00,0.00
32.775,0.02,0.00,-0.00,0.00
32.925,0.02,0.00,0.01,0.00
33.075,0.02,0.00,0.01,0.00
33.210,0.02,0.00,0.01,0.00
33.345,0.02,0.00,0.01,0.00
33.495,0.02,0.00,0.03,0.00
33.645,0.02,0.00,0.03,0.00
33.795,0.02,0.00,0.03,0.00
33.945,0.02,0.00,0.03,0.00
34.080,0.02,0.00,-0.01,0.00
34.230,0.02,0.00,-0.01,0.00
34.380,0.02,0.00,-0.01,0.00
34.515,0.02,0.00,-0.01,0.00
34.651,0.02,0.00,0.07,0.00
34.787,0.02,0.00,0.07,0.00
34.921,0.02,0.00,0.07,0.00
35.070,0.02,0.00,0.07,0.00
35.235,0.02,0.00,-0.03,0.00
35.416,0.02,0.00,-0.03,0.00
35.551,0.02,0.00,-0.03,0.00
35.732,0.02,0.00,-0.03,0.00
35.865,0.02,0.00,0.03,0.00
