Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
0.000,0,0.00,0,0
0.165,0,0.00,0.02,0
0.316,0,0.00,0.02,0.00
0.495,0.02,0.00,0.02,0.00
0.645,0.02,0.00,0.02,0.00
0.839,0.02,0.00,-0.02,0.00
0.974,0.02,0.00,-0.02,0.00
1.124,0.02,0.00,-0.02,0.00
1.275,0.02,0.00,-0.02,0.00
1.440,0.02,0.00,0.02,0.00
1.605,0.02,0.00,0.02,0.00
1.755,0.02,0.00,0.02,0.00
1.921,0.02,0.00,0.02,0.00
2.084,0.02,0.00,0.00,0.00
2.234,0.02,0.00,0.00,0.00
2.399,0.02,0.00,0.00,0.00
2.565,0.02,0.00,0.00,0.00
2.716,0.02,0.00,0.00,0.00
2.879,0.02,0.00,0.00,0.00
3.045,0.02,0.00,0.00,0.00
3.224,0.02,0.00,0.00,0.00
3.390,0.02,0.00,0.01,0.00
3.524,0.02,0.00,0.01,0.00
3.675,0.02,0.00,0.01,0.00
3.840,0.02,0.00,0.01,0.00
4.005,0.02,0.00,-0.01,0.00
4.155,0.02,0.00,-0.01,0.00
4.319,0.02,0.00,-0.01,0.00
4.485,0.02,0.00,-0.01,0.00
4.634,0.02,0.00,0.04,0.00
4.801,0.02,0.00,0.04,0.00
4.965,0.02,0.00,0.04,0.00
5.114,0.02,0.00,0.04,0.00
5.280,0.02,0.00,0.01,0.00
5.460,0.02,0.00,0.01,0.00
5.610,0.02,0.00,0.01,0.00
5.760,0.02,0.00,0.01,0.00
5.895,0.02,0.00,-0.01,0.00
6.046,0.02,0.00,-0.01,0.00
6.195,0.02,0.00,-0.01,0.00
6.347,0.02,0.00,-0.01,0.00
6.497,0.02,0.00,0.02,0.00
6.630,0.02,0.00,0.02,0.00
6.765,0.02,0.00,0.02,0.00
6.930,0.02,0.00,0.02,0.00
7.067,0.02,0.00,-0.02,0.00
7.231,0.02,0.00,-0.02,0.00
7.364,0.02,0.00,-0.02,0.00
7.517,0.02,0.00,-0.02,0.00
7.680,0.02,0.00,0.00,0.00
7.845,0.02,0.00,0.00,0.00
7.995,0.02,0.00,0.00,0.00
8.160,0.02,0.00,0.00,0.00
8.327,0.02,0.00,-0.03,0.00
8.505,0.02,0.00,-0.03,0.00
8.656,0.02,0.00,-0.03,0.00
8.805,0.02,0.00,-0.03,0.00
8.955,0.02,0.00,0.01,0.00
9.120,0.02,0.00,0.01,0.00
9.285,0.02,0.00,0.01,0.00
9.435,0.02,0.00,0.01,0.00
9.601,0.02,0.00,-0.02,0.00
9.735,0.02,0.00,-0.02,0.00
9.885,0.02,0.00,-0.02,0.00
10.035,0.02,0.00,-0.02,0.00
10.185,0.02,0.00,-0.01,0.00
10.335,0.02,0.00,-0.01,0.00
10.485,0.02,0.00,-0.01,0.00
10.620,0.02,0.00,-0.01,0.00
10.755,0.02,0.00,0.01,0.00
10.905,0.02,0.00,0.01,0.00
11.072,0.02,0.00,0.01,0.00
11.205,0.02,0.00,0.01,0.00
11.354,0.02,0.00,0.03,0.00
11.520,0.02,0.00,0.03,0.00
11.685,0.02,0.00,0.03,0.00
11.834,0.02,0.00,0.03,0.00
12.000,0.02,0.00,-0.00,0.00
12.165,0.02,0.00,-0.00,0.00
12.315,0.02,0.00,-0.00,0.00
12.480,0.02,0.00,-0.00,0.00
12.645,0.02,0.00,-0.01,0.00
12.810,0.02,0.00,-0.01,0.00
12.961,0.02,0.00,-0.01,0.00
13.127,0.02,0.00,-0.01,0.00
13.275,0.02,0.00,0.02,0.00
13.440,0.02,0.00,0.02,0.00
13.620,0.02,0.00,0.02,0.00
13.755,0.02,0.00,0.02,0.00
13.921,0.02,0.00,0.05,0.00
14.057,0.02,0.00,0.05,0.00
14.207,0.02,0.00,0.05,0.00
14.355,0.02,0.00,0.05,0.00
14.505,0.02,0.00,0.00,0.00
14.655,0.02,0.00,0.00,0.00
14.806,0.02,0.00,0.00,0.00
14.940,0.02,0.00,0.00,0.00
15.075,0.02,0.00,0.03,0.00
15.225,0.02,0.00,0.03,0.00
15.375,0.02,0.00,0.03,0.00
15.525,0.02,0.00,0.03,0.00
15.675,0.02,0.00,-0.01,0.00
15.840,0.02,0.00,-0.01,0.00
16.007,0.02,0.00,-0.01,0.00
16.155,0.02,0.00,-0.01,0.00
16.320,0.02,0.00,-0.01,0.00
16.455,0.02,0.00,-0.01,0.00
16.620,0.02,0.00,-0.01,0.00
16.769,0.02,0.00,-0.01,0.00
16.965,0.02,0.00,-0.03,0.00
17.115,0.02,0.00,-0.03,0.00
17.280,0.02,0.00,-0.03,0.00
17.415,0.02,0.00,-0.03,0.00
17.565,0.02,0.00,0.11,0.00
17.715,0.02,0.00,0.11,0.00
17.865,0.02,0.00,0.11,0.00
18.015,0.02,0.00,0.11,0.00
18.165,0.02,0.00,0.04,0.00
18.315,0.02,0.00,0.04,0.00
18.480,0.02,0.00,0.04,0.00
18.630,0.02,0.00,0.04,0.00
18.810,0.02,0.00,0.00,0.00
18.977,0.02,0.00,0.00,0.00
19.125,0.02,0.00,0.00,0.00
19.290,0.02,0.00,0.00,0.00
19.442,0.02,0.00,-0.00,0.00
19.605,0.02,0.00,-0.00,0.00
19.760,0.02,0.00,-0.00,0.00
19.904,0.02,0.00,-0.00,0.00
20.056,0.02,0.00,0.02,0.00
20.220,0.02,0.00,0.02,0.00
20.370,0.02,0.00,0.02,0.00
20.520,0.02,0.00,0.02,0.00
20.670,0.02,0.00,0.02,0.00
20.819,0.02,0.00,0.02,0.00
20.970,0.02,0.00,0.02,0.00
21.120,0.02,0.00,0.02,0.00
21.255,0.02,0.00,-0.00,0.00
21.404,0.02,0.00,-0.00,0.00
21.570,0.02,0.00,-0.00,0.00
21.734,0.02,0.00,-0.00,0.00
21.900,0.02,0.00,0.04,0.00
22.035,0.02,0.00,0.04,0.00
22.201,0.02,0.00,0.04,0.00
22.349,0.02,0.00,0.04,0.00
22.485,0.02,0.00,-0.01,0.00
22.634,0.02,0.00,-0.01,0.00
22.785,0.02,0.00,-0.01,0.00
22.934,0.02,0.00,-0.01,0.00
23.085,0.02,0.00,-0.02,0.00
23.234,0.02,0.00,-0.02,0.00
23.385,0.02,0.00,-0.02,0.00
23.534,0.02,0.00,-0.02,0.00
23.686,0.02,0.00,0.04,0.00
23.835,0.02,0.00,0.04,0.00
24.000,0.02,0.00,0.04,0.00
24.134,0.02,0.00,0.04,0.00
24.285,0.02,0.00,0.06,0.00
24.434,0.02,0.00,0.06,0.00
24.587,0.02,0.00,0.06,0.00
24.750,0.02,0.00,0.06,0.00
24.900,0.02,0.00,0.01,0.00
25.050,0.02,0.00,0.01,0.00
25.200,0.02,0.00,0.01,0.00
25.350,0.02,0.00,0.01,0.00
25.484,0.02,0.00,0.01,0.00
25.644,0.02,0.00,0.01,0.00
25.785,0.02,0.00,0.01,0.00
25.935,0.02,4.97,0.01,0.00
26.087,0.02,4.97,-0.04,0.00
26.235,0.02,4.97,-0.04,0.00
26.402,0.02,4.97,-0.04,0.00
26.565,0.02,34.93,-0.04,0.00
26.716,0.02,34.93,-0.03,0.00
26.881,0.02,34.93,-0.03,0.00
27.046,0.00,34.93,-0.03,0.00
27.195,0.00,86.26,-0.03,0.00
27.360,0.00,86.26,0.00,0.00
27.495,0.00,86.26,0.00,6.29
27.644,0.00,86.26,0.00,6.29
27.795,0.00,100.00,0.00,6.29
27.930,0.00,100.00,-0.14,6.29
28.067,0.00,100.00,-0.14,5.21
28.215,0.00,100.00,-0.14,5.21
28.349,0.00,100.00,-0.14,5.21
28.499,0.00,100.00,0.60,5.21
28.634,0.00,100.00,0.60,6.51
28.800,0.00,100.00,0.60,6.51
28.934,0.00,100.00,0.60,6.51
29.084,0.00,100.00,2.11,6.51
29.235,0.00,100.00,2.11,5.86
29.370,0.00,100.00,2.11,5.86
29.504,0.00,100.00,2.11,5.86
29.657,0.00,100.00,2.97,5.86
29.805,0.00,100.00,2.97,5.21
29.972,0.00,100.00,2.97,5.21
30.104,0.00,59.11,2.97,5.21
30.270,0.00,59.11,3.58,5.21
30.405,0.00,59.11,3.58,1.95
30.540,0.00,59.11,3.58,1.95
30.675,0.00,92.88,3.58,1.95
30.824,0.00,92.88,7.17,1.95
30.975,0.00,92.88,7.17,2.60
31.125,0.00,92.88,7.17,2.60
31.275,0.00,77.15,7.17,2.60
31.426,0.00,77.15,5.14,2.60
31.560,0.00,77.15,5.14,0.00
31.694,0.03,77.15,5.14,0.00
31.846,0.03,0.00,5.14,0.00
31.995,0.03,0.00,-2.30,0.00
32.160,0.03,0.00,-2.30,-4.99
32.325,0.02,0.00,-2.30,-4.99
