Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0.00,0,0
0.150,0,0,0,0.00,666.00,0
0.300,0,0,0,0.00,666.00,0.00
0.452,0.02,0,0,0.00,666.00,0.00
0.600,0.02,0.00,0,0.00,666.00,0.00
0.750,0.02,0.00,-0.04,0.00,666.00,0.00
0.900,0.02,0.00,-0.04,0.00,666.00,0.00
1.050,0.02,0.00,-0.04,0.00,659.50,0.00
1.200,0.02,0.00,-0.04,0.00,659.50,0.00
1.382,0.02,0.00,-0.04,0.00,659.50,0.00
1.529,0.02,0.00,-0.04,0.00,659.50,0.00
1.679,0.02,0.00,-0.02,0.00,659.50,0.00
1.829,0.02,0.00,-0.02,0.00,659.50,0.00
1.979,0.02,0.00,-0.02,0.00,663.00,0.00
2.145,0.02,0.00,-0.02,0.00,663.00,0.00
2.295,0.02,0.00,-0.02,0.00,663.00,0.00
2.444,0.02,0.00,-0.02,0.00,663.00,0.00
2.594,0.02,0.00,0.00,0.00,663.00,0.00
2.729,0.02,0.00,0.00,0.00,663.00,0.00
2.880,0.02,0.00,0.00,0.00,662.50,0.00
3.029,0.02,0.00,0.00,0.00,662.50,0.00
3.179,0.02,0.00,0.00,0.00,662.50,0.00
3.329,0.02,0.00,0.00,0.00,662.50,0.00
3.480,0.02,0.00,-0.02,0.00,662.50,0.00
3.630,0.02,0.00,-0.02,0.00,662.50,0.00
3.779,0.02,0.00,-0.02,0.00,666.50,0.00
3.930,0.02,0.00,-0.02,0.00,666.50,0.00
4.080,0.02,0.00,-0.02,0.00,666.50,0.00
4.230,0.02,0.00,-0.02,0.00,666.50,0.00
4.379,0.02,0.00,-0.04,0.00,666.50,0.00
4.530,0.02,0.00,-0.04,0.00,666.50,0.00
4.680,0.02,0.00,-0.04,0.00,664.00,0.00
4.845,0.02,0.00,-0.04,0.00,664.00,0.00
4.995,0.03,0.00,-0.04,0.00,664.00,0.00
5.129,0.03,0.00,-0.04,0.00,664.00,0.00
5.279,0.03,0.00,-0.01,0.00,664.00,0.00
5.429,0.03,0.00,-0.01,0.00,664.00,0.00
5.580,0.03,0.00,-0.01,0.00,658.50,0.00
5.730,0.03,0.00,-0.01,0.00,658.50,0.00
5.879,0.02,0.00,-0.01,0.00,658.50,0.00
6.029,0.02,0.00,-0.01,0.00,658.50,0.00
6.179,0.02,0.00,-0.03,0.00,658.50,0.00
6.330,0.02,0.00,-0.03,0.00,658.50,0.00
6.480,0.02,0.00,-0.03,0.00,652.50,0.00
6.630,0.02,0.00,-0.03,0.00,652.50,0.00
6.779,0.02,0.00,-0.03,0.00,652.50,0.00
6.930,0.02,0.00,-0.03,0.00,652.50,0.00
7.080,0.02,0.00,-0.05,0.00,652.50,0.00
7.245,0.02,0.00,-0.05,0.00,652.50,0.00
7.395,0.02,0.00,-0.05,0.00,648.00,0.00
7.560,0.02,0.00,-0.05,0.00,648.00,0.00
7.725,0.02,0.00,-0.05,0.00,648.00,0.00
7.875,0.02,0.00,-0.05,0.00,648.00,0.00
8.040,0.02,0.00,0.01,0.00,648.00,0.00
8.205,0.02,0.00,0.01,0.00,648.00,0.00
8.355,0.02,0.00,0.01,0.00,649.00,0.00
8.522,0.02,0.00,0.01,0.00,649.00,0.00
8.684,0.02,0.00,0.01,0.00,649.00,0.00
8.835,0.02,0.00,0.01,0.00,649.00,0.00
8.999,0.02,0.00,-0.01,0.00,649.00,0.00
9.165,0.02,0.00,-0.01,0.00,649.00,0.00
9.314,0.02,0.00,-0.01,0.00,650.00,0.00
9.480,0.02,0.00,-0.01,0.00,650.00,0.00
9.644,0.02,0.00,-0.01,0.00,650.00,0.00
9.794,0.02,0.00,-0.01,0.00,650.00,0.00
9.959,0.02,0.00,-0.04,0.00,650.00,0.00
10.125,0.02,0.00,-0.04,0.00,650.00,0.00
10.274,0.02,0.00,-0.04,0.00,648.50,0.00
10.440,0.02,0.00,-0.04,0.00,648.50,0.00
10.604,0.02,0.00,-0.04,0.00,648.50,0.00
10.754,0.02,0.00,-0.04,0.00,648.50,0.00
10.920,0.02,0.00,-0.06,0.00,648.50,0.00
11.085,0.02,0.00,-0.06,0.00,648.50,0.00
11.234,0.02,0.00,-0.06,0.00,646.50,0.00
11.400,0.02,0.00,-0.06,0.00,646.50,0.00
11.563,0.02,0.00,-0.06,0.00,646.50,0.00
11.715,0.02,0.00,-0.06,0.00,646.50,0.00
11.880,0.02,0.00,-0.05,0.00,646.50,0.00
12.045,0.02,0.00,-0.05,0.00,646.50,0.00
12.195,0.02,0.00,-0.05,0.00,652.50,0.00
