Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0.08,0,0,0
0.136,0,0,0.08,0.00,0,0
0.270,0,0,0.08,0.00,667.50,0
0.405,0,0,0.08,0.00,667.50,0.00
0.555,0.02,0,0.08,0.00,667.50,0.00
0.689,0.02,0.00,0.08,0.00,667.50,0.00
0.839,0.02,0.00,0.07,0.00,667.50,0.00
0.984,0.02,0.00,0.07,0.00,667.50,0.00
1.126,0.02,0.00,0.07,0.00,656.00,0.00
1.260,0.02,0.00,0.07,0.00,656.00,0.00
1.410,0.02,0.00,0.07,0.00,656.00,0.00
1.544,0.02,0.00,0.07,0.00,656.00,0.00
1.680,0.02,0.00,0.01,0.00,656.00,0.00
1.815,0.02,0.00,0.01,0.00,656.00,0.00
1.965,0.02,0.00,0.01,0.00,664.00,0.00
2.131,0.02,0.00,0.01,0.00,664.00,0.00
2.280,0.02,0.00,0.01,0.00,664.00,0.00
2.430,0.02,0.00,0.01,0.00,664.00,0.00
2.566,0.02,0.00,0.10,0.00,664.00,0.00
2.700,0.02,0.00,0.10,0.00,664.00,0.00
2.835,0.02,0.00,0.10,0.00,670.50,0.00
2.969,0.02,0.00,0.10,0.00,670.50,0.00
3.120,0.02,0.00,0.10,0.00,670.50,0.00
3.255,0.02,0.00,0.10,0.00,670.50,0.00
3.405,0.02,0.00,-0.00,0.00,670.50,0.00
3.555,0.02,0.00,-0.00,0.00,670.50,0.00
3.691,0.02,0.00,-0.00,0.00,659.50,0.00
3.841,0.02,0.00,-0.00,0.00,659.50,0.00
3.975,0.02,0.00,-0.00,0.00,659.50,0.00
4.110,0.02,0.00,-0.00,0.00,659.50,0.00
4.245,0.02,0.00,0.08,0.00,659.50,0.00
4.395,0.02,0.00,0.08,0.00,659.50,0.00
4.530,0.02,0.00,0.08,0.00,660.50,0.00
4.695,0.02,0.00,0.08,0.00,660.50,0.00
4.875,0.02,0.00,0.08,0.00,660.50,0.00
5.010,0.02,0.00,0.08,0.00,660.50,0.00
5.175,0.02,0.00,0.08,0.00,660.50,0.00
5.325,0.02,0.00,0.08,0.00,660.50,0.00
5.490,0.02,0.00,0.08,0.00,663.00,0.00
5.640,0.02,0.00,0.08,0.00,663.00,0.00
5.805,0.02,0.00,0.08,0.00,663.00,0.00
5.970,0.02,0.33,0.08,0.00,663.00,0.00
6.120,0.02,0.33,0.06,0.00,663.00,0.00
6.255,0.02,0.33,0.06,0.00,663.00,0.00
6.405,0.02,0.33,0.06,0.00,704.00,0.00
6.555,0.02,0.33,0.06,0.00,704.00,0.00
6.690,0.02,0.33,0.06,0.00,704.00,0.00
6.825,0.02,0.33,0.06,0.00,704.00,0.00
6.960,0.02,0.33,0.07,0.00,704.00,0.00
7.096,0.02,0.33,0.07,0.00,704.00,0.00
7.245,0.02,0.33,0.07,0.00,705.00,0.00
7.395,0.02,0.33,0.07,0.00,705.00,0.00
7.530,0.03,0.33,0.07,0.00,705.00,0.00
7.665,0.03,0.66,0.07,0.00,705.00,0.00
7.800,0.03,0.66,0.07,0.00,705.00,0.00
7.934,0.03,0.66,0.07,0.00,705.00,0.00
8.085,0.03,0.66,0.07,0.00,710.00,0.00
8.235,0.03,0.66,0.07,0.00,710.00,0.00
8.370,0.02,0.66,0.07,0.00,710.00,0.00
8.535,0.02,1.32,0.07,0.00,710.00,0.00
8.685,0.02,1.32,0.10,0.00,710.00,0.00
8.835,0.02,1.32,0.10,0.00,710.00,0.00
8.970,0.02,1.32,0.10,0.00,681.50,0.00
9.105,0.02,1.32,0.10,0.00,681.50,0.00
9.240,0.02,1.32,0.10,0.00,681.50,0.00
9.375,0.02,1.66,0.10,0.00,681.50,0.00
9.541,0.02,1.66,0.10,0.00,681.50,0.00
9.675,0.02,1.66,0.10,0.00,681.50,0.00
9.810,0.02,1.66,0.10,0.00,644.50,0.00
9.960,0.02,1.66,0.10,0.00,644.50,0.00
10.125,0.02,1.66,0.10,0.00,644.50,0.00
10.322,0.02,1.99,0.10,0.00,644.50,0.00
10.455,0.02,1.99,0.08,0.00,644.50,0.00
10.605,0.02,1.99,0.08,0.00,644.50,0.00
10.756,0.02,1.99,0.08,0.00,643.00,0.00
10.890,0.02,1.99,0.08,0.00,643.00,0.00
11.025,0.02,1.99,0.08,0.00,643.00,0.00
11.160,0.02,2.32,0.08,0.00,643.00,0.00
11.295,0.02,2.32,0.08,0.00,643.00,0.00
11.445,0.02,2.32,0.08,0.00,643.00,0.00
11.619,0.02,2.32,0.08,0.00,640.50,0.00
11.761,0.02,2.32,0.08,0.00,640.50,0.00
11.895,0.02,2.32,0.08,0.00,640.50,0.00
12.045,0.02,2.32,0.08,0.00,640.50,0.00
12.211,0.02,2.32,0.05,0.00,640.50,0.00
12.360,0.02,2.32,0.05,0.00,640.50,0.00
12.510,0.02,2.32,0.05,0.00,660.00,0.00
12.646,0.02,2.32,0.05,0.00,660.00,0.00
12.780,0.02,2.32,0.05,0.00,660.00,0.00
12.930,0.02,2.32,0.05,0.00,660.00,0.00
13.065,0.02,2.32,0.10,0.00,660.00,0.00
13.200,0.02,2.32,0.10,0.00,660.00,0.00
13.335,0.02,2.32,0.10,0.00,665.00,0.00
13.486,0.02,2.32,0.10,0.00,665.00,0.00
13.635,0.02,2.32,0.10,0.00,665.00,0.00
13.771,0.02,2.32,0.10,0.00,665.00,0.00
13.905,0.02,2.32,0.12,0.00,665.00,0.00
14.040,0.02,2.32,0.12,0.00,665.00,0.00
14.176,0.02,2.32,0.12,0.00,666.00,0.00
14.325,0.02,2.32,0.12,0.00,666.00,0.00
14.475,0.02,2.32,0.12,0.00,666.00,0.00
14.610,0.02,2.65,0.12,0.00,666.00,0.00
14.775,0.02,2.65,0.03,0.00,666.00,0.00
14.925,0.02,2.65,0.03,0.00,666.00,0.00
15.075,0.02,2.65,0.03,0.00,671.00,0.00
