Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0.04,0,0,0
0.134,0,0,0.04,0.00,0,0
0.270,0,0,0.04,0.00,670.00,0
0.405,0,0,0.04,0.00,670.00,0.00
0.540,0.02,0,0.04,0.00,670.00,0.00
0.675,0.02,0.00,0.04,0.00,670.00,0.00
0.825,0.02,0.00,0.00,0.00,670.00,0.00
0.959,0.02,0.00,0.00,0.00,670.00,0.00
1.094,0.02,0.00,0.00,0.00,670.00,0.00
1.229,0.02,0.00,0.00,0.00,670.00,0.00
1.364,0.02,0.00,0.00,0.00,670.00,0.00
1.500,0.02,0.00,0.00,0.00,670.00,0.00
1.634,0.02,0.00,0.06,0.00,670.00,0.00
1.770,0.02,0.00,0.06,0.00,670.00,0.00
1.919,0.02,0.00,0.06,0.00,671.00,0.00
2.054,0.02,0.00,0.06,0.00,671.00,0.00
2.189,0.02,0.00,0.06,0.00,671.00,0.00
2.324,0.02,0.00,0.06,0.00,671.00,0.00
2.459,0.02,0.00,0.02,0.00,671.00,0.00
2.595,0.02,0.00,0.02,0.00,671.00,0.00
2.744,0.02,0.00,0.02,0.00,663.00,0.00
2.879,0.02,0.00,0.02,0.00,663.00,0.00
3.015,0.02,0.00,0.02,0.00,663.00,0.00
3.149,0.02,0.00,0.02,0.00,663.00,0.00
3.286,0.02,0.00,0.03,0.00,663.00,0.00
3.419,0.02,0.00,0.03,0.00,663.00,0.00
3.589,0.02,0.00,0.03,0.00,667.00,0.00
3.720,0.02,0.00,0.03,0.00,667.00,0.00
3.854,0.02,0.00,0.03,0.00,667.00,0.00
4.004,0.02,0.00,0.03,0.00,667.00,0.00
4.154,0.02,0.00,0.01,0.00,667.00,0.00
4.321,0.02,0.00,0.01,0.00,667.00,0.00
4.454,0.02,0.00,0.01,0.00,663.50,0.00
4.604,0.02,0.00,0.01,0.00,663.50,0.00
4.755,0.02,0.00,0.01,0.00,663.50,0.00
4.904,0.02,0.00,0.01,0.00,663.50,0.00
5.054,0.02,0.00,0.03,0.00,663.50,0.00
5.205,0.02,0.00,0.03,0.00,663.50,0.00
5.354,0.02,0.00,0.03,0.00,665.00,0.00
5.504,0.02,0.00,0.03,0.00,665.00,0.00
5.654,0.02,0.00,0.03,0.00,665.00,0.00
5.805,0.02,0.00,0.03,0.00,665.00,0.00
5.955,0.02,0.00,0.02,0.00,665.00,0.00
6.105,0.02,0.00,0.02,0.00,665.00,0.00
6.254,0.02,0.00,0.02,0.00,673.00,0.00
6.405,0.02,0.00,0.02,0.00,673.00,0.00
6.554,0.02,0.00,0.02,0.00,673.00,0.00
6.720,0.02,0.00,0.02,0.00,673.00,0.00
6.855,0.02,0.00,0.02,0.00,673.00,0.00
7.005,0.02,0.00,0.02,0.00,673.00,0.00
7.155,0.02,0.00,0.02,0.00,668.50,0.00
7.304,0.02,0.00,0.02,0.00,668.50,0.00
7.454,0.02,0.00,0.02,0.00,668.50,0.00
7.604,0.02,0.00,0.02,0.00,668.50,0.00
7.754,0.02,0.00,0.02,0.00,668.50,0.00
7.904,0.02,0.00,0.02,0.00,668.50,0.00
8.054,0.02,0.00,0.02,0.00,670.00,0.00
8.204,0.02,0.00,0.02,0.00,670.00,0.00
8.371,0.02,0.00,0.02,0.00,670.00,0.00
8.504,0.02,0.00,0.02,0.00,670.00,0.00
8.655,0.02,0.00,0.04,0.00,670.00,0.00
8.805,0.02,0.00,0.04,0.00,670.00,0.00
8.954,0.02,0.00,0.04,0.00,669.50,0.00
9.119,0.02,0.00,0.04,0.00,669.50,0.00
9.269,0.02,0.00,0.04,0.00,669.50,0.00
9.436,0.02,0.00,0.04,0.00,669.50,0.00
9.600,0.02,0.00,0.00,0.00,669.50,0.00
9.735,0.02,0.00,0.00,0.00,669.50,0.00
9.885,0.02,0.00,0.00,0.00,666.50,0.00
10.036,0.02,0.00,0.00,0.00,666.50,0.00
10.169,0.02,0.00,0.00,0.00,666.50,0.00
10.319,0.02,0.00,0.00,0.00,666.50,0.00
10.455,0.02,0.00,0.05,0.00,666.50,0.00
10.604,0.02,0.00,0.05,0.00,666.50,0.00
10.754,0.02,0.00,0.05,0.00,665.50,0.00
10.905,0.02,0.00,0.05,0.00,665.50,0.00
11.069,0.02,0.00,0.05,0.00,665.50,0.00
11.205,0.02,0.00,0.05,0.00,665.50,0.00
11.356,0.02,0.00,0.00,0.00,665.50,0.00
11.520,0.02,0.00,0.00,0.00,665.50,0.00
11.655,0.02,0.00,0.00,0.00,664.50,0.00
11.805,0.02,0.00,0.00,0.00,664.50,0.00
11.954,0.02,0.00,0.00,0.00,664.50,0.00
12.105,0.02,0.00,0.00,0.00,664.50,0.00
12.270,0.02,0.00,0.05,0.00,664.50,0.00
12.419,0.02,0.00,0.05,0.00,664.50,0.00
12.554,0.02,0.00,0.05,0.00,662.00,0.00
12.705,0.02,0.00,0.05,0.00,662.00,0.00
12.855,0.02,0.00,0.05,0.00,662.00,0.00
13.005,0.02,0.00,0.05,0.00,662.00,0.00
13.155,0.02,0.00,0.06,0.00,662.00,0.00
13.305,0.02,0.00,0.06,0.00,662.00,0.00
13.455,0.02,0.00,0.06,0.00,657.00,0.00
13.605,0.02,0.00,0.06,0.00,657.00,0.00
13.754,0.02,0.00,0.06,0.00,657.00,0.00
13.920,0.02,0.00,0.06,0.00,657.00,0.00
14.055,0.02,0.00,0.04,0.00,657.00,0.00
14.204,0.02,0.00,0.04,0.00,657.00,0.00
14.369,0.02,0.00,0.04,0.00,647.00,0.00
14.534,0.02,0.00,0.04,0.00,647.00,0.00
14.669,0.03,0.00,0.04,0.00,647.00,0.00
14.805,0.03,0.00,0.04,0.00,647.00,0.00
14.954,0.03,0.00,-0.04,0.00,647.00,0.00
15.104,0.03,0.00,-0.04,0.00,647.00,0.00
15.254,0.03,0.00,-0.04,0.00,641.50,0.00
15.404,0.03,0.00,-0.04,0.00,641.50,0.00
15.554,0.03,0.00,-0.04,0.00,641.50,0.00
15.704,0.03,0.00,-0.04,0.00,641.50,0.00
15.855,0.03,0.00,0.07,0.00,641.50,0.00
16.004,0.03,0.00,0.07,0.00,641.50,0.00
16.154,0.03,0.00,0.07,0.00,643.00,0.00
16.320,0.03,0.00,0.07,0.00,643.00,0.00
16.469,0.03,0.00,0.07,0.00,643.00,0.00
16.635,0.03,0.00,0.07,0.00,643.00,0.00
16.801,0.03,0.00,0.03,0.00,643.00,0.00
16.965,0.03,0.00,0.03,0.00,643.00,0.00
17.115,0.03,0.00,0.03,0.00,648.50,0.00
17.280,0.03,0.00,0.03,0.00,648.50,0.00
17.414,0.03,0.00,0.03,0.00,648.50,0.00
17.564,0.03,0.00,0.03,0.00,648.50,0.00
17.730,0.03,0.00,0.00,0.00,648.50,0.00
17.895,0.03,0.00,0.00,0.00,648.50,0.00
18.044,0.03,0.00,0.00,0.00,649.00,0.00
18.210,0.03,0.00,0.00,0.00,649.00,0.00
18.375,0.03,0.00,0.00,0.00,649.00,0.00
18.524,0.03,27.65,0.00,0.00,649.00,0.00
18.690,0.03,27.65,0.02,0.00,649.00,0.00
18.855,0.03,27.65,0.02,0.00,649.00,0.00
19.004,0.03,27.65,0.02,0.00,1012.00,0.00
19.170,0.03,27.65,0.02,0.00,1012.00,0.00
19.319,0.01,27.65,0.02,0.00,1012.00,0.00
19.469,0.01,100.00,0.02,0.00,1012.00,0.00
19.620,0.01,100.00,-0.15,0.00,1012.00,0.00
19.770,0.01,100.00,-0.15,6.29,1012.00,0.00
19.920,0.01,100.00,-0.15,6.29,2381.50,0.00
20.069,0.01,100.00,-0.15,6.29,2381.50,17.86
20.219,0.00,100.00,-0.15,6.29,2381.50,17.86
20.369,0.00,100.00,-0.15,6.29,2381.50,17.86
20.520,0.00,100.00,0.50,6.29,2381.50,17.86
20.669,0.00,100.00,0.50,6.08,2381.50,17.86
20.820,0.00,100.00,0.50,6.08,4283.00,17.86
20.969,0.00,100.00,0.50,6.08,4283.00,38.29
21.120,0.00,100.00,0.50,6.08,4283.00,38.29
21.254,0.00,100.00,0.50,6.08,4283.00,38.29
21.404,0.00,100.00,0.19,6.08,4283.00,38.29
21.569,0.00,100.00,0.19,4.34,4283.00,38.29
21.735,0.00,100.00,0.19,4.34,4468.00,38.29
21.885,0.00,100.00,0.19,4.34,4468.00,57.99
22.049,0.00,100.00,0.19,4.34,4468.00,57.99
22.214,0.00,0.00,0.19,4.34,4468.00,57.99
22.349,0.00,0.00,-3.89,4.34,4468.00,57.99
22.499,0.00,0.00,-3.89,-0.65,4468.00,57.99
22.649,0.00,0.00,-3.89,-0.65,5069.00,57.99
22.815,0.00,0.00,-3.89,-0.65,5069.00,65.07
