Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
0.000,0,0,0,0.00
0.149,0.02,0,0,0.00
0.314,0.02,0.00,0,0.00
0.478,0.02,0.00,-0.03,0.00
0.645,0.02,0.00,-0.03,0.00
0.797,0.02,0.00,-0.03,0.00
0.961,0.02,0.00,-0.03,0.00
1.110,0.02,0.00,-0.01,0.00
1.283,0.02,0.00,-0.01,0.00
1.442,0.02,0.00,-0.01,0.00
1.589,0.02,0.00,-0.01,0.00
1.755,0.02,0.00,0.04,0.00
1.920,0.02,0.00,0.04,0.00
2.069,0.02,0.00,0.04,0.00
2.235,0.02,0.00,0.04,0.00
2.399,0.02,0.00,0.02,0.00
2.565,0.02,0.00,0.02,0.00
2.717,0.02,0.00,0.02,0.00
2.879,0.02,0.00,0.02,0.00
3.029,0.02,0.00,-0.01,0.00
3.195,0.02,0.00,-0.01,0.00
3.360,0.02,0.00,-0.01,0.00
3.509,0.02,0.00,-0.01,0.00
3.674,0.02,0.00,0.02,0.00
3.839,0.02,0.00,0.02,0.00
3.989,0.03,0.00,0.02,0.00
4.154,0.03,0.00,0.02,0.00
4.319,0.03,0.00,-0.01,0.00
4.484,0.03,0.00,-0.01,0.00
4.635,0.03,0.00,-0.01,0.00
4.799,0.03,0.00,-0.01,0.00
4.949,0.03,0.00,-0.03,0.00
5.114,0.03,0.00,-0.03,0.00
5.280,0.03,0.00,-0.03,0.00
5.429,0.03,0.00,-0.03,0.00
5.594,0.03,0.00,-0.05,0.00
5.759,0.03,0.00,-0.05,0.00
5.909,0.03,0.00,-0.05,0.00
6.074,0.03,0.00,-0.05,0.00
6.209,0.03,0.00,-0.05,0.00
6.359,0.03,0.00,-0.05,0.00
6.509,0.03,0.00,-0.05,0.00
6.660,0.03,0.00,-0.05,0.00
6.810,0.03,0.00,0.02,0.00
6.960,0.03,0.00,0.02,0.00
7.110,0.03,0.00,0.02,0.00
7.260,0.03,0.00,0.02,0.00
7.410,0.03,0.00,0.02,0.00
7.560,0.03,0.00,0.02,0.00
7.710,0.03,0.00,0.02,0.00
7.860,0.03,0.00,0.02,0.00
8.009,0.03,0.00,-0.01,0.00
8.160,0.03,0.00,-0.01,0.00
8.310,0.03,0.00,-0.01,0.00
8.475,0.03,0.00,-0.01,0.00
8.609,0.03,0.00,0.03,0.00
8.760,0.03,0.00,0.03,0.00
8.909,0.03,0.00,0.03,0.00
9.060,0.03,0.00,0.03,0.00
9.210,0.03,0.00,0.00,0.00
9.345,0.03,0.00,0.00,0.00
9.481,0.02,0.00,0.00,0.00
9.630,0.02,0.00,0.00,0.00
9.779,0.02,0.00,0.02,0.00
9.930,0.02,0.00,0.02,0.00
10.079,0.02,0.00,0.02,0.00
10.229,0.02,0.00,0.02,0.00
10.394,0.02,0.00,-0.01,0.00
10.530,0.02,0.00,-0.01,0.00
10.680,0.02,0.00,-0.01,0.00
10.829,0.02,0.00,-0.01,0.00
10.979,0.02,0.00,-0.01,0.00
11.129,0.02,0.00,-0.01,0.00
11.279,0.02,0.00,-0.01,0.00
11.429,0.02,0.00,-0.01,0.00
11.579,0.02,0.00,-0.04,0.00
11.729,0.02,0.00,-0.04,0.00
11.878,0.02,0.00,-0.04,0.00
12.029,0.02,0.00,-0.04,0.00
12.179,0.02,0.00,0.02,0.00
12.314,0.02,0.00,0.02,0.00
12.479,0.02,0.00,0.02,0.00
12.630,0.02,0.00,0.02,0.00
12.795,0.02,0.00,0.01,0.00
12.930,0.02,0.00,0.01,0.00
13.079,0.02,0.00,0.01,0.00
13.230,0.02,0.00,0.01,0.00
13.397,0.02,0.00,-0.00,0.00
13.530,0.02,0.00,-0.00,0.00
13.679,0.02,0.00,-0.00,0.00
13.830,0.02,0.00,-0.00,0.00
13.979,0.02,0.00,-0.01,0.00
14.130,0.02,0.00,-0.01,0.00
14.266,0.02,0.00,-0.01,0.00
14.399,0.02,0.00,-0.01,0.00
14.549,0.02,0.00,-0.00,0.00
14.715,0.02,0.00,-0.00,0.00
14.849,0.02,0.00,-0.00,0.00
15.000,0.02,0.00,-0.00,0.00
15.197,0.02,0.00,0.04,0.00
15.361,0.02,0.00,0.04,0.00
15.510,0.02,0.00,0.04,0.00
15.675,0.02,0.00,0.04,0.00
15.809,0.02,0.00,-0.03,0.00
15.960,0.02,0.00,-0.03,0.00
16.109,0.02,0.00,-0.03,0.00
16.260,0.02,0.00,-0.03,0.00
16.409,0.02,0.00,0.01,0.00
16.559,0.02,0.00,0.01,0.00
16.709,0.02,0.00,0.01,0.00
16.845,0.02,11.26,0.01,0.00
16.979,0.02,11.26,-0.02,0.00
17.145,0.02,11.26,-0.02,0.00
17.279,0.02,11.26,-0.02,0.00
17.430,0.02,42.88,-0.02,0.00
17.594,0.02,42.88,-0.01,0.00
17.730,0.02,42.88,-0.01,4.99
17.879,0.00,42.88,-0.01,4.99
18.029,0.00,100.00,-0.01,4.99
18.180,0.00,100.00,0.15,4.99
18.330,0.00,100.00,0.15,5.42
18.482,0.00,100.00,0.15,5.42
18.630,0.00,100.00,0.15,5.42
18.780,0.00,100.00,0.52,5.42
18.930,0.00,100.00,0.52,5.42
19.079,0.00,100.00,0.52,5.42
19.230,0.00,100.00,0.52,5.42
19.381,0.00,100.00,1.59,5.42
19.529,0.00,100.00,1.59,6.51
19.680,0.00,100.00,1.59,6.51
19.830,0.00,100.00,1.59,6.51
19.995,0.00,100.00,2.23,6.51
20.132,0.00,100.00,2.23,4.34
20.309,0.00,100.00,2.23,4.34
20.474,0.00,85.76,2.23,4.34
20.610,0.00,85.76,3.03,4.34
20.759,0.00,85.76,3.03,4.34
20.909,0.00,85.76,3.03,4.34
21.059,0.00,72.52,3.03,4.34
21.210,0.00,72.52,3.78,4.34
21.361,0.00,72.52,3.78,2.17
21.510,0.00,72.52,3.78,2.17
21.659,0.00,77.48,3.78,2.17
21.809,0.00,77.48,6.84,2.17
21.959,0.00,77.48,6.84,2.39
22.094,0.00,77.48,6.84,2.39
22.230,0.00,0.00,6.84,2.39
22.397,0.00,0.00,2.92,2.39
22.530,0.00,0.00,2.92,-2.82
22.679,0.02,0.00,2.92,-2.82
22.829,0.02,0.00,2.92,-2.82
22.979,0.02,0.00,-6.33,-2.82
23.130,0.02,0.00,-6.33,-3.25
23.267,0.02,0.00,-6.33,-3.25
23.399,0.02,44.87,-6.33,-3.25
23.550,0.02,44.87,-8.32,-3.25
23.706,0.02,44.87,-8.32,-0.43
23.865,0.00,44.87,-8.32,-0.43
23.999,0.00,59.60,-8.32,-0.43
24.149,0.00,59.60,-6.26,-0.43
24.314,0.00,59.60,-6.26,2.39
24.479,0.00,59.60,-6.26,2.39
24.629,0.00,0.00,-6.26,2.39
24.794,0.00,0.00,3.90,2.39
24.959,0.00,0.00,3.90,-1.08
25.109,0.00,0.00,3.90,-1.08
25.273,0.00,19.70,3.90,-1.08
25.409,0.00,19.70,10.07,-1.08
25.558,0.00,19.70,10.07,0.00
25.710,0.00,19.70,10.07,0.00
25.843,0.00,74.34,10.07,0.00
25.994,0.00,74.34,-1.49,0.00
26.129,0.00,74.34,-1.49,2.39
26.279,0.00,74.34,-1.49,2.39
26.429,0.00,0.00,-1.49,2.39
26.564,0.00,0.00,-6.91,2.39
26.714,0.00,0.00,-6.91,-1.74
26.879,0.00,0.00,-6.91,-1.74
27.029,0.00,69.87,-6.91,-1.74
27.194,0.00,69.87,-9.22,-1.74
27.329,0.00,69.87,-9.22,1.52
27.479,0.00,69.87,-9.22,1.52
27.629,0.00,53.97,-9.22,1.52
27.778,0.00,53.97,-5.38,1.52
27.941,0.00,53.97,-5.38,-0.87
28.078,0.03,53.97,-5.38,-0.87
28.228,0.03,0.00,-5.38,-0.87
28.364,0.03,0.00,6.19,-0.87
28.498,0.03,0.00,6.19,-1.74
28.664,0.00,0.00,6.19,-1.74
28.799,0.00,68.38,6.19,-1.74
28.950,0.00,68.38,7.43,-1.74
29.115,0.00,68.38,7.43,1.95
29.249,0.00,68.38,7.43,1.95
29.399,0.00,85.76,7.43,1.95
29.549,0.00,85.76,7.58,1.95
29.684,0.00,85.76,7.58,1.95
29.819,0.00,85.76,7.58,1.95
29.969,0.00,90.89,7.58,1.95
30.120,0.00,90.89,1.61,1.95
30.269,0.00,90.89,1.61,4.34
30.404,0.01,90.89,1.61,4.34
30.554,0.01,0.00,1.61,4.34
30.719,0.01,0.00,-6.79,4.34
30.868,0.01,0.00,-6.79,-3.69
31.037,0.00,0.00,-6.79,-3.69
31.170,0.00,72.19,-6.79,-3.69
31.320,0.00,72.19,-8.64,-3.69
31.470,0.00,72.19,-8.64,1.74
31.619,0.00,72.19,-8.64,1.74
31.769,0.00,87.42,-8.64,1.74
31.920,0.00,87.42,-6.05,1.74
32.069,0.00,87.42,-6.05,3.04
32.207,0.00,87.42,-6.05,3.04
32.339,0.00,22.35,-6.05,3.04
32.505,0.00,22.35,-1.91,3.04
32.638,0.00,22.35,-1.91,-4.99
32.789,0.03,22.35,-1.91,-4.99
32.955,0.03,0.00,-1.91,-4.99
33.089,0.03,0.00,3.93,-4.99
33.240,0.03,0.00,3.93,-5.86
33.389,0.02,0.00,3.93,-5.86
33.525,0.02,9.27,3.93,-5.86
