Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0,660.00,0
0.139,0,0,0,0,660.00,0.00
0.273,0.02,0,0,0,660.00,0.00
0.408,0.02,0.00,0,0,660.00,0.00
0.559,0.02,0.00,-0.03,0,660.00,0.00
0.710,0.02,0.00,-0.03,0.00,660.00,0.00
0.875,0.02,0.00,-0.03,0.00,659.50,0.00
1.009,0.02,0.00,-0.03,0.00,659.50,0.00
1.144,0.02,0.00,-0.03,0.00,659.50,0.00
1.279,0.02,0.00,-0.03,0.00,659.50,0.00
1.415,0.02,0.00,-0.01,0.00,659.50,0.00
1.549,0.02,0.00,-0.01,0.00,659.50,0.00
1.684,0.02,0.00,-0.01,0.00,664.00,0.00
1.834,0.02,0.00,-0.01,0.00,664.00,0.00
1.969,0.02,0.00,-0.01,0.00,664.00,0.00
2.120,0.02,0.00,-0.01,0.00,664.00,0.00
2.270,0.02,0.00,-0.06,0.00,664.00,0.00
2.403,0.02,0.00,-0.06,0.00,664.00,0.00
2.539,0.02,0.00,-0.06,0.00,663.00,0.00
2.674,0.02,0.00,-0.06,0.00,663.00,0.00
2.810,0.02,0.00,-0.06,0.00,663.00,0.00
2.959,0.02,0.00,-0.06,0.00,663.00,0.00
3.110,0.02,0.00,-0.05,0.00,663.00,0.00
3.259,0.02,0.00,-0.05,0.00,663.00,0.00
3.395,0.02,0.00,-0.05,0.00,655.50,0.00
3.529,0.02,0.00,-0.05,0.00,655.50,0.00
3.679,0.02,0.00,-0.05,0.00,655.50,0.00
3.830,0.02,0.00,-0.05,0.00,655.50,0.00
3.965,0.02,0.00,-0.06,0.00,655.50,0.00
4.114,0.02,0.00,-0.06,0.00,655.50,0.00
4.249,0.02,0.00,-0.06,0.00,657.00,0.00
4.399,0.02,0.00,-0.06,0.00,657.00,0.00
4.550,0.02,0.00,-0.06,0.00,657.00,0.00
4.700,0.02,0.00,-0.06,0.00,657.00,0.00
4.850,0.02,0.00,-0.05,0.00,657.00,0.00
4.984,0.02,0.00,-0.05,0.00,657.00,0.00
5.120,0.02,0.00,-0.05,0.00,655.50,0.00
5.254,0.02,0.00,-0.05,0.00,655.50,0.00
5.390,0.02,0.00,-0.05,0.00,655.50,0.00
5.555,0.02,0.00,-0.05,0.00,655.50,0.00
5.690,0.02,0.00,-0.06,0.00,655.50,0.00
5.839,0.02,0.00,-0.06,0.00,655.50,0.00
5.990,0.02,0.00,-0.06,0.00,650.00,0.00
6.124,0.02,0.00,-0.06,0.00,650.00,0.00
6.259,0.02,0.00,-0.06,0.00,650.00,0.00
6.394,0.02,0.00,-0.06,0.00,650.00,0.00
6.529,0.02,0.00,-0.03,0.00,650.00,0.00
6.680,0.02,0.00,-0.03,0.00,650.00,0.00
6.830,0.02,0.00,-0.03,0.00,658.50,0.00
6.995,0.02,0.00,-0.03,0.00,658.50,0.00
7.160,0.02,0.00,-0.03,0.00,658.50,0.00
7.309,0.02,0.00,-0.03,0.00,658.50,0.00
7.475,0.02,0.00,-0.09,0.00,658.50,0.00
7.609,0.02,0.00,-0.09,0.00,658.50,0.00
7.790,0.02,0.00,-0.09,0.00,660.00,0.00
7.924,0.02,0.00,-0.09,0.00,660.00,0.00
8.075,0.02,0.00,-0.09,0.00,660.00,0.00
8.209,0.02,0.00,-0.09,0.00,660.00,0.00
8.345,0.02,0.00,-0.05,0.00,660.00,0.00
8.480,0.02,0.00,-0.05,0.00,660.00,0.00
8.615,0.02,0.00,-0.05,0.00,659.00,0.00
8.749,0.02,0.00,-0.05,0.00,659.00,0.00
8.885,0.02,0.00,-0.05,0.00,659.00,0.00
9.034,0.02,0.00,-0.05,0.00,659.00,0.00
9.185,0.02,0.00,-0.02,0.00,659.00,0.00
