Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0.02,0,0,0,0,0
0.135,0.02,0.00,0,0,0,0
0.271,0.02,0.00,0.06,0,0,0
0.405,0.02,0.00,0.06,0.00,0,0
0.540,0.02,0.00,0.06,0.00,669.50,0
0.690,0.02,0.00,0.06,0.00,669.50,0.00
0.840,0.02,0.00,0.06,0.00,669.50,0.00
0.975,0.02,0.00,0.06,0.00,669.50,0.00
1.141,0.02,0.00,0.07,0.00,669.50,0.00
1.290,0.02,0.00,0.07,0.00,669.50,0.00
1.440,0.02,0.00,0.07,0.00,667.50,0.00
1.590,0.02,0.00,0.07,0.00,667.50,0.00
1.726,0.02,0.00,0.07,0.00,667.50,0.00
1.860,0.02,0.00,0.07,0.00,667.50,0.00
1.995,0.02,0.00,0.08,0.00,667.50,0.00
2.131,0.02,0.00,0.08,0.00,667.50,0.00
2.281,0.02,0.00,0.08,0.00,661.50,0.00
2.444,0.02,0.00,0.08,0.00,661.50,0.00
2.580,0.02,0.00,0.08,0.00,661.50,0.00
2.730,0.02,0.00,0.08,0.00,661.50,0.00
2.880,0.02,0.00,0.08,0.00,661.50,0.00
3.016,0.02,0.00,0.08,0.00,661.50,0.00
3.151,0.02,0.00,0.08,0.00,660.00,0.00
3.285,0.02,0.00,0.08,0.00,660.00,0.00
3.420,0.02,0.00,0.08,0.00,660.00,0.00
3.570,0.02,0.00,0.08,0.00,660.00,0.00
3.721,0.02,0.00,0.08,0.00,660.00,0.00
3.886,0.02,0.00,0.08,0.00,660.00,0.00
4.020,0.02,0.00,0.08,0.00,659.50,0.00
4.169,0.02,0.00,0.08,0.00,659.50,0.00
4.336,0.02,0.00,0.08,0.00,659.50,0.00
4.485,0.02,0.00,0.08,0.00,659.50,0.00
4.621,0.02,0.00,0.08,0.00,659.50,0.00
4.755,0.02,0.00,0.08,0.00,659.50,0.00
4.890,0.02,0.00,0.08,0.00,660.00,0.00
5.040,0.02,0.00,0.08,0.00,660.00,0.00
5.176,0.02,0.00,0.08,0.00,660.00,0.00
5.325,0.02,0.00,0.08,0.00,660.00,0.00
5.460,0.02,0.00,0.10,0.00,660.00,0.00
5.610,0.02,0.00,0.10,0.00,660.00,0.00
5.760,0.02,0.00,0.10,0.00,659.00,0.00
5.895,0.02,0.00,0.10,0.00,659.00,0.00
6.031,0.02,0.00,0.10,0.00,659.00,0.00
6.165,0.02,0.00,0.10,0.00,659.00,0.00
6.316,0.02,0.00,0.07,0.00,659.00,0.00
6.450,0.02,0.00,0.07,0.00,659.00,0.00
6.600,0.02,0.00,0.07,0.00,661.50,0.00
6.735,0.02,0.00,0.07,0.00,661.50,0.00
6.900,0.02,0.00,0.07,0.00,661.50,0.00
7.053,0.02,0.00,0.07,0.00,661.50,0.00
7.201,0.02,0.00,0.12,0.00,661.50,0.00
7.365,0.02,0.00,0.12,0.00,661.50,0.00
7.500,0.02,0.00,0.12,0.00,659.00,0.00
7.650,0.02,0.00,0.12,0.00,659.00,0.00
7.785,0.02,0.00,0.12,0.00,659.00,0.00
7.920,0.02,0.00,0.12,0.00,659.00,0.00
8.055,0.02,0.00,0.05,0.00,659.00,0.00
8.205,0.02,0.00,0.05,0.00,659.00,0.00
8.341,0.02,0.00,0.05,0.00,662.00,0.00
8.490,0.02,0.00,0.05,0.00,662.00,0.00
8.640,0.02,0.00,0.05,0.00,662.00,0.00
8.790,0.02,0.00,0.05,0.00,662.00,0.00
8.941,0.02,0.00,0.04,0.00,662.00,0.00
9.075,0.02,0.00,0.04,0.00,662.00,0.00
9.212,0.02,0.00,0.04,0.00,652.50,0.00
9.345,0.02,0.00,0.04,0.00,652.50,0.00
9.481,0.02,0.00,0.04,0.00,652.50,0.00
9.615,0.02,0.00,0.04,0.00,652.50,0.00
9.766,0.02,0.00,0.04,0.00,652.50,0.00
9.903,0.02,0.00,0.04,0.00,652.50,0.00
10.036,0.02,0.00,0.04,0.00,659.00,0.00
10.170,0.02,0.00,0.04,0.00,659.00,0.00
10.320,0.02,0.00,0.04,0.00,659.00,0.00
10.455,0.02,0.00,0.04,0.00,659.00,0.00
10.605,0.02,0.00,0.05,0.00,659.00,0.00
10.740,0.02,0.00,0.05,0.00,659.00,0.00
10.890,0.02,0.00,0.05,0.00,657.00,0.00
11.040,0.02,0.00,0.05,0.00,657.00,0.00
11.175,0.02,0.00,0.05,0.00,657.00,0.00
11.310,0.02,0.00,0.05,0.00,657.00,0.00
11.445,0.02,0.00,0.09,0.00,657.00,0.00
11.580,0.02,0.00,0.09,0.00,657.00,0.00
11.730,0.02,0.00,0.09,0.00,662.00,0.00
11.880,0.02,0.00,0.09,0.00,662.00,0.00
12.015,0.02,0.00,0.09,0.00,662.00,0.00
12.165,0.02,0.00,0.09,0.00,662.00,0.00
12.300,0.02,0.00,0.02,0.00,662.00,0.00
12.450,0.02,0.00,0.02,0.00,662.00,0.00
12.586,0.02,0.00,0.02,0.00,663.50,0.00
