Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration","Engine speed","Vehicle speed"
0.000,0,0,0,0.00,0,0
0.138,0,0,0,0.00,655.00,0
0.303,0,0,0,0.00,655.00,0.00
0.468,0.02,0,0,0.00,655.00,0.00
0.617,0.02,0.00,0,0.00,655.00,0.00
0.784,0.02,0.00,0.05,0.00,655.00,0.00
0.947,0.02,0.00,0.05,0.00,655.00,0.00
1.099,0.02,0.00,0.05,0.00,654.50,0.00
1.232,0.02,0.00,0.05,0.00,654.50,0.00
1.383,0.02,0.00,0.05,0.00,654.50,0.00
1.534,0.02,0.00,0.05,0.00,654.50,0.00
1.683,0.02,0.00,0.06,0.00,654.50,0.00
1.833,0.02,0.00,0.06,0.00,654.50,0.00
1.968,0.02,0.00,0.06,0.00,657.00,0.00
2.119,0.02,0.00,0.06,0.00,657.00,0.00
2.252,0.02,0.00,0.06,0.00,657.00,0.00
2.388,0.02,0.00,0.06,0.00,657.00,0.00
2.538,0.02,0.00,0.03,0.00,657.00,0.00
2.673,0.02,0.00,0.03,0.00,657.00,0.00
2.823,0.02,0.00,0.03,0.00,657.50,0.00
2.958,0.02,0.00,0.03,0.00,657.50,0.00
3.093,0.02,0.00,0.03,0.00,657.50,0.00
3.243,0.02,0.00,0.03,0.00,657.50,0.00
3.393,0.02,0.00,0.00,0.00,657.50,0.00
3.543,0.02,0.00,0.00,0.00,657.50,0.00
3.678,0.02,0.00,0.00,0.00,652.50,0.00
3.828,0.02,0.00,0.00,0.00,652.50,0.00
3.978,0.02,0.00,0.00,0.00,652.50,0.00
4.143,0.02,0.00,0.00,0.00,652.50,0.00
4.277,0.02,0.00,0.00,0.00,652.50,0.00
4.428,0.02,0.00,0.00,0.00,652.50,0.00
4.577,0.02,0.00,0.00,0.00,659.50,0.00
4.713,0.02,0.00,0.00,0.00,659.50,0.00
4.848,0.02,0.00,0.00,0.00,659.50,0.00
4.983,0.02,0.00,0.00,0.00,659.50,0.00
5.118,0.02,0.00,0.03,0.00,659.50,0.00
5.268,0.02,0.00,0.03,0.00,659.50,0.00
5.433,0.02,0.00,0.03,0.00,668.00,0.00
5.583,0.02,0.00,0.03,0.00,668.00,0.00
5.749,0.02,0.00,0.03,0.00,668.00,0.00
5.898,0.02,0.00,0.03,0.00,668.00,0.00
6.063,0.02,0.00,0.05,0.00,668.00,0.00
6.197,0.02,0.00,0.05,0.00,668.00,0.00
6.348,0.02,0.00,0.05,0.00,669.00,0.00
6.514,0.02,0.00,0.05,0.00,669.00,0.00
6.663,0.02,0.00,0.05,0.00,669.00,0.00
6.813,0.02,0.00,0.05,0.00,669.00,0.00
6.963,0.02,0.00,0.04,0.00,669.00,0.00
7.113,0.02,0.00,0.04,0.00,669.00,0.00
7.248,0.02,0.00,0.04,0.00,659.00,0.00
7.384,0.02,0.00,0.04,0.00,659.00,0.00
7.518,0.02,0.00,0.04,0.00,659.00,0.00
7.668,0.02,0.00,0.04,0.00,659.00,0.00
7.818,0.02,0.00,0.05,0.00,659.00,0.00
7.982,0.02,0.00,0.05,0.00,659.00,0.00
8.148,0.02,0.00,0.05,0.00,659.50,0.00
8.298,0.02,0.00,0.05,0.00,659.50,0.00
8.433,0.02,0.00,0.05,0.00,659.50,0.00
8.583,0.02,0.00,0.05,0.00,659.50,0.00
8.719,0.02,0.00,0.01,0.00,659.50,0.00
8.853,0.02,0.00,0.01,0.00,659.50,0.00
8.988,0.02,0.00,0.01,0.00,657.50,0.00
9.138,0.02,0.00,0.01,0.00,657.50,0.00
9.273,0.02,0.00,0.01,0.00,657.50,0.00
9.424,0.02,0.00,0.01,0.00,657.50,0.00
9.558,0.02,0.00,0.03,0.00,657.50,0.00
9.708,0.02,0.00,0.03,0.00,657.50,0.00
9.858,0.02,0.00,0.03,0.00,650.00,0.00
9.994,0.02,0.00,0.03,0.00,650.00,0.00
10.129,0.02,0.00,0.03,0.00,650.00,0.00
10.263,0.02,0.00,0.03,0.00,650.00,0.00
10.414,0.02,0.00,0.00,0.00,650.00,0.00
10.548,0.02,0.00,0.00,0.00,650.00,0.00
10.698,0.02,0.00,0.00,0.00,658.50,0.00
